"LOCATION","Country","SUBJECT","Subject","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","1956","1956","PC","Percentage","0","Units",,,1.525054,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","1957","1957","PC","Percentage","0","Units",,,3.341508,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","1958","1958","PC","Percentage","0","Units",,,2.729161,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","1959","1959","PC","Percentage","0","Units",,,1.010684,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","1960","1960","PC","Percentage","0","Units",,,1.457976,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","1961","1961","PC","Percentage","0","Units",,,1.070724,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","1962","1962","PC","Percentage","0","Units",,,1.198773,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","1963","1963","PC","Percentage","0","Units",,,1.239669,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","1964","1964","PC","Percentage","0","Units",,,1.278912,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","1965","1965","PC","Percentage","0","Units",,,1.585169,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","1966","1966","PC","Percentage","0","Units",,,3.015075,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","1967","1967","PC","Percentage","0","Units",,,2.772786,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","1968","1968","PC","Percentage","0","Units",,,4.271796,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","1969","1969","PC","Percentage","0","Units",,,5.462386,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","1970","1970","PC","Percentage","0","Units",,,5.838255,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","1971","1971","PC","Percentage","0","Units",,,4.292767,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","1972","1972","PC","Percentage","0","Units",,,3.272278,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","1973","1973","PC","Percentage","0","Units",,,6.17776,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","1974","1974","PC","Percentage","0","Units",,,11.0548,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","1975","1975","PC","Percentage","0","Units",,,9.143147,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","1976","1976","PC","Percentage","0","Units",,,5.744812,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","1977","1977","PC","Percentage","0","Units",,,6.501684,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","1978","1978","PC","Percentage","0","Units",,,7.630964,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","1979","1979","PC","Percentage","0","Units",,,11.25447,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","1980","1980","PC","Percentage","0","Units",,,13.5492,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","1981","1981","PC","Percentage","0","Units",,,10.33471,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","1982","1982","PC","Percentage","0","Units",,,6.131427,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","1983","1983","PC","Percentage","0","Units",,,3.212435,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","1984","1984","PC","Percentage","0","Units",,,4.300536,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","1985","1985","PC","Percentage","0","Units",,,3.545644,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","1986","1986","PC","Percentage","0","Units",,,1.898048,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","1987","1987","PC","Percentage","0","Units",,,3.664563,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","1988","1988","PC","Percentage","0","Units",,,4.077741,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","1989","1989","PC","Percentage","0","Units",,,4.827003,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","1990","1990","PC","Percentage","0","Units",,,5.397956,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","1991","1991","PC","Percentage","0","Units",,,4.234964,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","1992","1992","PC","Percentage","0","Units",,,3.02882,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","1993","1993","PC","Percentage","0","Units",,,2.951657,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","1994","1994","PC","Percentage","0","Units",,,2.607442,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","1995","1995","PC","Percentage","0","Units",,,2.80542,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","1996","1996","PC","Percentage","0","Units",,,2.931204,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","1997","1997","PC","Percentage","0","Units",,,2.33769,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","1998","1998","PC","Percentage","0","Units",,,1.552279,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","1999","1999","PC","Percentage","0","Units",,,2.188027,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","2000","2000","PC","Percentage","0","Units",,,3.376857,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","2001","2001","PC","Percentage","0","Units",,,2.826171,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","2002","2002","PC","Percentage","0","Units",,,1.586032,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","2003","2003","PC","Percentage","0","Units",,,2.270095,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","2004","2004","PC","Percentage","0","Units",,,2.677237,,
"USA","United States","CPALTT01","CPI: 01-12 - All items","GY","Percentage change on the same period of the previous year","A","Annual","2005","2005","PC","Percentage","0","Units",,,3.392747,,
