,Unnamed: 0,Wikipedia_movie_ID,Freebase_movie_ID,Movie_name,Movie_release_date,Movie_box_office_revenue,Movie_runtime,Movie_languages,Movie_countries,Movie_genres,Audience_imdb_rating,Audience_imdb_count,Directors,Authors,Actors_rotten,production_company,Critics_rotten_rating,Critic_rotten_count,Audience_rotten_rating,Audience_rotten_count
10,464,24021571,/m/07kbj2s,Just Wright,2010,21570263.0,101.0,['English Language'],['United States of America'],"['Romantic comedy', 'Sports', 'Drama', 'Comedy', 'Romantic drama', 'Romance Film']",5.9,15351,Sanaa Hamri,Michael Elliot,"Queen Latifah, Common, Paula Patton, Phylicia Rashad, Mehcad Brooks, Pam Grier, James Pickens Jr., Laz Alonso, Michael Landes, Dwight Howard, Dwyane Wade, Rashard Lewis, Jalen Rose, Rajon Rondo, Marv Albert, Kenny Smith, Stuart Scott, Elton Brand, Bobby Simmons, Mike Fratello, J.J. Thorne, Tim Walsh, Rod Thorn, Leo Ehrline, Richard D'Alessandro, Lindsay Michelle Nader, Peter Hermann, Kim Strother, Leo Allen, Richard D'Allesandro, Terence Blanchard, Fabian Almazan, Ben Street, Kendrick Scott, Brély Evans, Rupak Ginn, Paolo Montalban, Allen Iaccarino, Marty Krzywonos, Joe Felix, Lauren Dellolio, Deborah S. Craig, Neville Page, Otis Best Jr., Divine Compere, Larkey Cummings, Gustavo Cunha, Kedric Dines Jr., Corey Elvin, Andrew Lewis, Carter Lewis, Michael Murry, DeAndre Pierre, Lance Rivera Jr., Iman Watson, Elijah Wright",20th Century Fox,46.0,109.0,61.0,108519.0
11,473,1226289,/m/04k12v,Bless the Child,2000,40443010.0,107.0,['English Language'],"['United States of America', 'Germany']","['Thriller', 'Mystery', 'Horror', 'Supernatural']",5.1,15197,Chuck Russell,"Tom Rickman, Ellen Green, Clifford Green","Kim Basinger, Jimmy Smits, Holliston Coleman, Rufus Sewell, Angela Bettis, Christina Ricci, Ian Holm, Michael Gaston, Lumi Cavazos, Dimitra Arliss, Eugene Lipinski, Anne Betancourt, Helen Stenborg, Matthew Lemche, Dan Warry-Smith, Elisabeth Rosen, Tony Del Rio, Nicole Lyn, Michael McLachlan, Jonathan Malen, Vince Corazza, David Eisner, Gary Hudson, Samantha O'Dwyer, Nicolas Marti Salgado, Marcia Bennett, Peter Mensah, Yan Birch, Alexa Gilmour, Wanda Lee Evans, Cedric Smith, Dwayne McLean, Brenda Divine, Lauren Spring, Trevor Bain, Brian Heighton, Chris Marren, Todd Schroeder, John Healy, Dylan Harman, David Sparrow, Michael Copeman, Neil Girvan, Carol Lempert, Kelvin Wheeler, Tony Meyler, Richard Carmichael, Roman Podhora, Dean Gabourie, Arnold Pinnock, Teresa Pavlinek, Jeffrey Caudle, Catherine Fitch, Neville Edwards, John Shepherd, Norma Edwards, Leeza Gibbons, Dan Duran, Sandi Stahlbrand, Mia Lee, Matt Birman, Meredith McGeachie, Henry Alessandroni, Austin Reed, Corrina Reed, Brianna Reed, Christopher Redman C New Dawn Intern, Jovanni Sy",Paramount Pictures,3.0,111.0,43.0,35259.0
12,498,44218,/m/0c1p3,San Francisco,1936,2868000.0,115.0,['English Language'],['United States of America'],"['Disaster', 'Romance Film', 'Drama', 'Natural disaster', 'Black-and-white']",7.2,5972,"D.W. Griffith, W.S. Van Dyke","Anita Loos, Erich von Stroheim, Robert E. Hopkins","Clark Gable, Jeanette MacDonald, Spencer Tracy, Jack Holt, Ted Healy, Margaret Irving, Jessie Ralph, Harold Huber, Al Shean, Kenneth Harlan, William Ricciardi, Roger Imhof, Frank Mayo, Charles Judels, Russell Simpson, Bert Roach, Warren Hymer, Edgar Kennedy, Shirley Ross, Tandy MacKenzie, Tudor Williams, Spec O'Donnell, Bob McKenzie, Adrienne D'Ambricourt, Nigel De Brulier, Mae Digges, Nyas Berry, John Kelly, Jim Farley, Pat O'Malley, Otho Wright, Gertrude Astor, Ruth Gillette, Tom Dugan, Vince Barnett, Belle Mitchell, Fred M. Fagan, W.J. O'Brien, James Brewster Thompson, Samuel Glasser, John Pearson, Jason Robards Sr., William Newell, James Macklin, Tom McGuire, Wilbur Mack, Harry Myers, Edward Hearn, Henry Roquemore, G. Pat Collins, Harry Strang, Vernon Dent, Irving Bacon, Orrin Burke, David Thursby, John 'Skins' Miller, Helen Shipman, George Guhl, Edward Earle, Maude Allen, Jack Baxley, Carl Stockdale, Anthony Jowitt, Jane Barnes, Richard Carle, Oscar Apfel, Frank Sheridan, Ralph Lewis, Chester Gan, Jack Kennedy, Bill O'Brien, Cy Kendall, Don Rowan, Sherry Hall, Jason Robards Sr., Ben Taggart, Dennis O'Keefe, Charles Sullivan, Beatrice Roberts, Bruce Mitchell, Sidney Bracey, Tommy Bupp, Sam Ash, Bud Geary, George Magrill, King Baggot, Rhea Mitchell, Flora Finch, Fritzi Brunette, Helene Chadwick, Naomi Childers, Rosemary Theby, Jean Acker, Donald Hall",MGM,100.0,11.0,70.0,1337.0
13,763,8316526,/m/026_5m2,Lifeguard,1976,,96.0,['English Language'],['United States of America'],['Drama'],6.6,1757,Daniel Petrie Sr.,Ron Koslow,"Sam Elliott, Anne Archer, Stephen Young, Parker Stevenson, Kathleen Quinlan, Steve Burns, Sharon Weber, Mark Hall, Lenka Peterson, Scott Lichtig, Paul Kent, Jo Gilbert, Russ Marin, Vivian Brown, James Beard, David McKnight, Bill Joyce",Paramount Pictures,40.0,5.0,73.0,514.0
14,764,817057,/m/03dwzc,Outland,1981,,109.0,['English Language'],['United Kingdom'],"['Thriller', 'Crime Fiction', 'Science Fiction', 'Adventure', 'Western', 'Space western', 'Hybrid Western']",6.6,31712,Peter Hyams,Peter Hyams,"Sean Connery, Peter Boyle, Frances Sternhagen, James B. Sikking, Kika Markham, Clarke Peters, Steven Berkoff, John Ratzenberger, Nicholas Barnes, Manning Redwood, Pat Starr, Hal Galili, Phillip Johnston, Angus MacInnes, Stuart Milligan, Eugene Lipinski, Norman Chancer, Ron Travis, Anni Domingo, Bill Bailey, Chris Williams, Marc Boyle, Richard Hammat, James Berwick, Gary Olsen, Isabelle Lucas, Sharon Duce, Angelique Rockas, Judith Alderson, Rayner Bourton, Nori Morgan, Julia Depyer, Nina Francoise, Brendan Hughes, Philip Johnston, Norri Morgan, P.H. Moriarty, Doug Robinson",Warner Home Video,56.0,25.0,54.0,8433.0
15,771,399402,/m/023p33,Cinderella,1950,85000000.0,74.0,['English Language'],['United States of America'],"['Romance Film', 'Fantasy', 'Family Film', 'Musical', 'Animation']",7.3,170296,"Clyde Geronimi, Wilfred Jackson, Hamilton Luske","Ken Anderson, Bill Peet, Erdman Penner, Ted Sears, Homer Brightman, Winston Hibler, Harry Reeves, Joe Rinaldi","Ilene Woods, Eleanor Audley, Verna Felton, William Phipps, Rhoda Williams, James MacDonald (II), Luis Van Rooten, Don Barclay, Lucille Bliss, Mike Douglas, Marion Darlington, June Foray, Betty Lou Gerson, Claire Du Brey, Helene Stanley, Sylvia Guillem, Charles Judels, Donald Barclay",Walt Disney Pictures,97.0,35.0,80.0,862184.0
16,927,6244632,/m/0fymw0,Crossover,2006,7009668.0,95.0,['English Language'],['United States of America'],"['Sports', 'Coming of age', 'Action', 'Drama', 'Teen']",2.1,9292,Preston A. Whitmore II,Preston A. Whitmore II,"Eva Marcille, Anthony Mackie, Wayne Brady, Wesley Jonathan, Kristen Wilson, Lil' JJ, Phillip ""Hot Sauce"" Champion, Alecia Fears, Tamer Alwer Falli, Neil Richardson",Sony Pictures Entertainment,2.0,65.0,59.0,102535.0
17,938,10990102,/m/02qxffp,The Left Handed Gun,1958,,102.0,['English Language'],['United States of America'],"['Action/Adventure', 'Western', 'Drama', 'Biographical film', 'Black-and-white']",6.4,4546,Arthur Penn,Leslie Stevens,"Paul Newman, Lita Milan, John Dehner, Hurd Hatfield, James Congdon, James Best, Colin Keith-Johnston, John Dierkes, Robert Anderson, Wally Brown, Ainslie Pryor, Martin Garralaga, Denver Pyle, Paul L. Smith, Nestor Paiva, Jo Summers, Robert Foulk, Anne Barton",Warner Bros. Pictures,90.0,10.0,54.0,689.0
18,941,1231856,/m/04kkxx,For Love of the Game,1999,46112640.0,137.0,['English Language'],['United States of America'],"['Sports', 'Romantic drama', 'Romance Film', 'Drama']",6.6,36878,Sam Raimi,Dana Stevens,"Kevin Costner, Kelly Preston, John C. Reilly, Jena Malone, Brian Cox, Vin Scully, J.K. Simmons, Steve Lyons, Carmine Giovinazzo, Bill E. Rogers, Hugh Ross, Greer Barnes, Bill Rodgers, Domenick Lombardozzi, Arnetia Walker, Larry Joshua, Scott Bream, José Mota, Earl Johnson, Chris Lemonis, Jesse Ibarra, Pedro Swann, Michael Rivera, David Eiland, Jose Lisi, Jim Colborn, Michael Borzello, Paul Bradshaw, Gene Kirley, Chris Fischer, Jonathan Marc McDonnell, Barry Bradford, Kevin Craig West, Wes Said Drake, Luis Moro, Michael Papajohn, John Darjean Jr., Donzell McDonald, Scott Pose, Vick Brown, Chris Ashby, Bill Masse, Mike Buddie, Eric Knowles, Ricky Ledee, Juan Pablo Nieves Dominguez, Augie Garrido, Rick Reed, Rich Garcia, Jerry Crawford, Robert Leo Shepard, Eddie Layton, Robinson Frank Adu, T. Sean Ferguson, Victor Colicchio, David Mucci, Jacob Reynolds, Maurice Shrog, Karen Williams, Tracy Middendorf, William Newman, P.J. Barry, Frank Girardeau, Caterina Zapponi, Monty Alexander, Daniel Dae Kim, Judith Drake, Bill Vincent, Billy V. Costner, Sharon Rae Costner, Mark Thomason, Laura Cayouette, Christopher Cousins, Ted Raimi, Michael Emerson, Shelly Desai, Lucinda Faraldo, Ed Morgan, Brian Donald Hickey, Tracy Perry",Universal Pictures,46.0,94.0,75.0,43557.0
19,946,161877,/m/015gl2,This Sporting Life,1963,,134.0,['English Language'],['United Kingdom'],"['Kitchen sink realism', 'Sports', 'Drama', 'British New Wave', 'Romantic drama', 'Romance Film']",7.5,7003,Lindsay Anderson,David Storey,"Richard Harris, Rachel Roberts, Alan Badel, William Hartnell, Colin Blakely, Vanda Godsell, Arthur Lowe, Anne Cunningham, Jack Watson, Harry Markham, George Sewell, Leonard Rossiter, Frank Windsor, Peter Duguid, Wallas Eaton, Anthony Woodruff, Katherine Parr, Bernadette Benson, Andrew Nolan, Glenda Jackson, Michael Logan, Murray Evans, Tom Clegg, John Gill, Ken Traill, Lois Sutcliffe Smith",Continental,95.0,21.0,87.0,1895.0
20,948,24813200,/m/09g6wg2,Kisses and Caroms,2006,,81.0,['English Language'],['United States of America'],"['Romantic comedy', 'Romance Film', 'Comedy', 'Indie']",4.4,1398,Vince Rocca,"Michael Hutchinson, Vince Rocca","Nicole Rayburn, Nicola Rayburn, Drew Wicks, Nikki Stanzione, Ryan Parks, Ginger Lynn Allen, Keith Alexander, Kay Nine, Bart Shattuck, Patty Souza, Robert Vincenti",Poverty Works,40.0,5.0,22.0,987.0
21,955,934809,/m/03rf3z,Operation Petticoat,1959,,124.0,['English Language'],['United States of America'],"['Action/Adventure', 'Action', 'Comedy', 'War film']",7.2,15452,Blake Edwards,"Stanley Shapiro, Maurice Richlin, Maurice Richling","Cary Grant, Tony Curtis, Dina Merrill, Joan O'Brien, Arthur O'Connell, Gene Evans, Dick Sargent, Virginia Gregg, Robert Simon, Robert F. Simon, Robert Gist, Gavin MacLeod, George Dunn, Dick Crockett, Madlyn Rhue, Marion Ross, Clarence Lung, Frankie Darro, Tony Pastor Jr., Nicky Blair, John Morley, Robert Hoy, Glenn Jacobson, Nino Tempo, William Bryant, Vince Deadrick Jr., Leon Lontoc, James Lanphier, Alan Dexter, Preston Hanson, Hal Baylor, Bob Stratton, Vi Ingraham, Alan Scott, Francis De Sales, Francis L. Ward, William R. Callihan, Gordon Casell, Tusi Faiivae, Nelson Leigh, Robert Keys, Dale Cummings, Joseph Kim, Malcolm Cassell, Larry Gilliland, Fred Harlfinger II, Harry Harvey Jr., Haile Chase, Howard Venezia, Vince Deadrick, William Kinney, Robert C. Youmans, Robert Gibson, Bert Beyers, Tony Corrado",Universal Pictures,81.0,21.0,81.0,8677.0
22,997,5150761,/m/0d539d,Devour,2005,,90.0,['English Language'],['United States of America'],"['Sci-Fi Horror', 'Horror', 'Psychological thriller']",4.7,5413,David Winkler,"Adam Gross, Seth Gross, Roger Wilson","Jensen Ackles, Shannyn Sossamon, Martin Cummins, Dominique Swain, Andee Frizzell, William Sadler, Rob Stewart, Jenn Griffin, R. Nelson Brown, Emy Aneke, Teach, Chaz Chamberlain, Patrick Gilmore, Reg Tupper, Wanda Cannon",Sony Pictures Home Entertainment,20.0,5.0,42.0,8820.0
23,1013,1141059,/m/049w1q,The Clearing,2004,,95.0,['English Language'],"['United States of America', 'Germany']","['Thriller', 'Crime Fiction', 'Psychological thriller', 'Mystery', 'Drama', 'Crime Thriller']",5.8,14272,Pieter Jan Brugge,"Pieter Jan Brugge, Justin Haythe","Robert Redford, Helen Mirren, Willem Dafoe, Alessandro Nivola, Matt Craven, Melissa Sagemiller, Wendy Crewson, Larry Pine, Diana Scarwid, Elizabeth Ruscio, Gwen McGee, Sarah Koskoff, Graciela Marin, Mike Pniewski, Geoff McKnight, Tom E. Acuragi, Audrey Wasilewski, Peter Gannon, Jacqi Loewy, Matt Miller, Mark Emery Moore, Joel S. Nunley, Ted Manson",Fox Searchlight Pictures,43.0,134.0,32.0,7400.0
24,1053,1157158,/m/04c13q,Death to Smoochy,2002,8382938.0,109.0,['English Language'],"['United States of America', 'United Kingdom', 'Germany']","['Parody', 'Black comedy', 'Satire', 'Comedy']",6.3,42075,Danny DeVito,Adam Resnick,"Edward Norton, Robin Williams, Hank Azaria, Catherine Keener, Danny DeVito, Jon Stewart, Pam Ferris, Salma Hayek, Danny Woodburn, Michael Rispoli, Harvey Fierstein, Vincent Schiavelli, Elvis Stojko, Glen Cross, Bruce McFee, Tim MacMenamin, Craig Eldridge, Judy White, Bill Lake, Nick Taylor, Richard A. Cocchiaro Jr., Tracey Walter, Louis Giambalvo, Colin Moult, Nikolai Tichtchenko, Martin Klebba, Tonya Renee Banks, Christy Artran, Philip Craig, Natasha Kinne, Richard Hamilton, Shawn Byfield, Todd Graff, Melissa DiMarco, Dan Duran, Michael Copeman, James Carroll, Phil Jarrett, Suzanne Leonard Feliz, Thomas Lyons, Angela Bullock, Robert M. Sussman, George Steven Blumenthal, Matthew Arkin, Hugo Jansuzian, Silvia Rojas, Mario Andres Torres, Sabrina Jansuzian, Fred Scialla, Adam Bryant, Richard Ziman, Frank Anello, Samantha Cordero, Peter Keleghan, Rothaford Gray, Dave Brown, Gerry Quigley, James Binkley, Matthew Dylan Roberts, Vito Rezza, Lou Cantres, John Cleland, Lauren Flanigan, Cara Wakelin",Warner Bros. Pictures,42.0,119.0,66.0,59923.0
25,1060,16647548,/m/03yjhrd,Fixed Bayonets!,1951,1450000.0,92.0,['English Language'],['United States of America'],"['Action/Adventure', 'Action', 'Drama', 'Film adaptation', 'War film']",6.9,2068,Samuel Fuller,Samuel Fuller,"Richard Basehart, Gene Evans, Skip Homeier, Michael O'Shea, Richard Hylton, Craig Hill, Henry Kulky, Richard Monohan, Paul Richards, Tony Kent, Don Orlando, Patrick Fitzgibbon, Neyle Morrow, George Wesley, Mel Pogue, George Conrad, David Wolfson, Buddy Thorpe, Al Negbo, Wyott Ordung, Bill Hickman, Pat Hogan, Richard Monahan, James Dean, John Doucette, Glenn Corbett",20th Century Fox,100.0,7.0,70.0,438.0
26,1067,3028248,/m/08ll9g,Chances Are,1989,16278590.0,108.0,['English Language'],['United States of America'],"['Romantic comedy', 'Fantasy', 'Comedy', 'Romance Film', 'Fantasy Comedy', 'Romantic fantasy', 'Religious Film']",6.5,13434,Emile Ardolino,"Perry Howze, Randy Howze","Cybill Shepherd, Robert Downey Jr., Ryan O'Neal, Mary Stuart Masterson, Christopher McDonald, Josef Sommer, Joe Grifasi, Henderson Forsythe, Susan Ruttan, Lester Lanin, Ricardo de Angelis, Richard DeAngelis, Franchelle Dorn, Jacquelyn Drake, Don Richards, June Thorne, Fran Ryan, James Noble, Marc McClure, Mimi Kennedy, Kathleen Freeman, Dennis Patrick, Martin Garner, Gianni Russo, Andrew Reilly, Channing Chase, Nat Benchley, Cliff McMullen, Carey Hauser, Laura Lee Stetzel, Max Trumpower, Dennis Mancini, Lester Lanin",Sony Pictures Home Entertainment,67.0,30.0,65.0,8954.0
27,1133,1871167,/m/062mn_,Welcome to Mooseport,2004,14000000.0,110.0,['English Language'],"['United States of America', 'Germany']","['Political cinema', 'Romance Film', 'Americana', 'Comedy']",5.3,13324,Donald Petrie,"Doug Richardson, Tom Schulman","Ray Romano, Gene Hackman, Marcia Gay Harden, Maura Tierney, Christine Baranski, Fred Savage, Rip Torn, June Squibb, Wayne Robson, John Rothman, Karl Pruner, Edward Herrmann, David Macniven, Jackie Richardson, Paul Bates, Reagan Pasternak, Philip Williams, Jim Feather, Ed Fielding, Jessica Holmes, Natalie Brown, Paul McGuire, Heather Allin, J.C. Kenny, Diana Platts, Peter Snider, Dan Duran, Pat Moffatt, James Barrett, Colleen Reynolds, Bill Lynn, Colleen Williams, Jayne Eastwood, Diane Gordon, Armando Tosquellas, Carly Street, Catherine Burdon, Enis Esmer, Deborah Glover, Adam Bramble, Michael Kinney, Jon Manfrellotti, Mark Kersey, Sam Moses, Krista Sutton, Dawn Greenhalgh, Jeff Gruich, Andrew Moodie, Doug Murray (II), Jackie Laidlaw, Andy Hirsch, Arlin Miller",20th Century Fox,13.0,146.0,19.0,20162.0
