,Unnamed: 0,Wikipedia_movie_ID,Freebase_movie_ID,Movie_name,Movie_release_date,Movie_box_office_revenue,Movie_runtime,Movie_languages,Movie_countries,Movie_genres,Audience_imdb_rating,Audience_imdb_count,Directors,Authors,Actors_rotten,production_company,Critics_rotten_rating,Critic_rotten_count,Audience_rotten_rating,Audience_rotten_count
0,13,171005,/m/016ywb,Henry V,1989,10161099.0,137.0,['English Language'],['United Kingdom'],"['Costume drama', 'War film', 'Epic', 'Period piece', 'Drama', 'Film adaptation']",7.5,31189,Kenneth Branagh,Kenneth Branagh,"Kenneth Branagh, Derek Jacobi, Brian Blessed, Ian Holm, Simon Shepherd, James Larkin, James Simmons, Paul Gregory, Charles Kay, Alec McCowen, Fabian Cartwright, Stephen Simms, Jay Villiers, Edward Jewesbury, Danny Webb, Jimmy Yuill, John Sessions, Shaun Prendergast, Pat Doyle, Michael Anthony Williams, Richard Briers, Geoffrey Hutchings, Robert Stephens, Robbie Coltrane, Christian Bale, Judi Dench, Paul Scofield, Michael Maloney, Richard Innocent, Richard Clifford, Colin Hurley, Patrick Doyle, Richard Easton, Christopher Ravenscroft, Emma Thompson, Geraldine McEwan, David Lloyd Meredith, David Parfitt, Nicholas Ferguson, Tom Whitehouse, Nigel Greaves, Julian Gartside, Calum Yuill, Mark Inman, Chris Armstrong, Simon Rattle",MGM Home Entertainment,100.0,40.0,89.0,13465.0
1,99,12788657,/m/02x4zpv,The Boston Strangler,1968,17810894.0,116.0,['English Language'],['United States of America'],"['Crime Fiction', 'Mystery', 'Thriller', 'Drama', 'Crime Thriller']",7.1,10513,Richard Fleischer,Edward Anhalt,"Tony Curtis, Henry Fonda, George Kennedy, Mike Kellin, Hurd Hatfield, Murray Hamilton, Jeff Corey, Sally Kellerman, William Marshall, George Voskovec, Leora Dana, Carolyn Conwell, Jeanne Cooper, Austin Willis, Lara Lindsay, George Furth, Richard X. Slattery, William Hickey, Eve Collyer, Gwyda DonHowe, Alex Dreier, John Cameron Swayze, Shelley Burton, Elizabeth Baur, Dana Elcar, William Traylor, Carole Shelley, James Brolin, George Tyne, Karen Huston, Enid Markey, Almira Sessions, Richard Krisher, Arthur Hanson, Walter Klavun, Tim Herbert, Janis Young, George Fisher, Greg Benedict, Tom Aldredge, Nancie Phillips, Marie Thomas",20th Century Fox Film Corp.,86.0,14.0,78.0,58.0
2,223,1588008,/m/05dpjl,Heidi Fleiss: Hollywood Madam,1995,,106.0,['English Language'],"['United States of America', 'Canada', 'United Kingdom', 'Germany']","['Biography', 'Political drama', 'Comedy']",6.6,832,Nick Broomfield,,"Madam Alex, Cookie, Heidi Fleiss, Ivan Nagy, Nick Broomfield, Madame Alex, Victoria Sellers, 'Cookie', Daryl Gates, L'Hua Reid, Ron Jeremy, Vicky Deger, Corinne Bohrer, Nick Hamm, Jim Butcher, Julianna Reese",BMG,75.0,8.0,47.0,1228.0
3,226,5696825,/m/0d_ng1,The Dark Half,1993,,122.0,['English Language'],['United States of America'],"['Film adaptation', 'Horror', 'Psychological thriller', 'Supernatural']",6.0,18921,George A. Romero,George A. Romero,"Timothy Hutton, Amy Madigan, Michael Rooker, Julie Harris, Robert Joy, Rutanya Alda, Chelsea Field, Kent Broadhurst, Tom Mardirosian, Patrick Brannan, Larry John Meyers, Christine Forrest, Royal Dano, Beth Grant, Christina Romero, Rohn Thomas, Molly Renfroe, Judy Grafe, Nardi Novak, John Machione, Zachary Mott, William Cameron, Erik Jensen, David W. Butler, Glenn Colerider, Curt Debor, Drinda La Lumia, Lamont Arnold, Lee Hayes, Bruce Kirkpatrick, David Earle, Jeff Monahan, Jeff Howell, J. Michael Hunter",Orion Home Video,58.0,33.0,37.0,8965.0
4,287,4069274,/m/0bghc4,When Will I Be Loved,2004,,81.0,['English Language'],['United States of America'],"['Erotic Drama', 'Erotica', 'Erotic thriller', 'Drama', 'Romantic drama', 'Romance Film', 'Indie']",4.4,3517,James Toback,James Toback,"Neve Campbell, Frederick Weller, Dominic Chianese, Keith Weller, Karen Allen, Barry Primus, Richard Turley, James Toback, Michael Mailer, Jason Pendergraft, Joelle Carter, Megan Pepin, Damon Dash, Oli ""Power"" Grant, Alex Feldman, Erin Omar, Saif Tahsir, Jean-Pierre Vertus, Victor Colletti, Meredith Ostrom, Jamison Ernest, Thomas Patti, Cara Hamill, Bridget Lee Hall, Brandon Sommers, Oliver Grant, James Parris, Christina Rotholz, Mike Tyson, Lori Singer, Robert Covelman, Ashley Shelton, Michele Marie, Luca Mosca, Emily Coker, Allessandra Stewart",IFC Films,32.0,73.0,32.0,3183.0
5,289,3681139,/m/09v460,Necessary Roughness,1991,26255594.0,108.0,['English Language'],['United States of America'],"['Sports', 'Comedy']",6.2,12736,Stan Dragoti,"Rick Natkin, David J. Fuller, John Fasano","Scott Bakula, Hector Elizondo, Robert Loggia, Harley Jane Kozak, Larry Miller, Sinbad, Fred Dalton Thompson, Rob Schneider, Jason Bateman, Andrew Bryniarski, Duane Davis, Michael Dolan, Marcus Giamatti, Kathy Ireland, Louis Mandylor, Andrew Lauer, Peter Navy Tuiasosopo, Mindy Marin, Darryl Cox, Evander Holyfield, Scott Thomson, Dick Butkus, Earl Campbell, Michael Petty, Roger Craig, Spencer Prokop, Ben Davidson, Tony Dorsett, Dave Tanner, Ed Jones, Jim Kelly, Jerry Rice, Herschel Walker, Randy Wayne White, Scott Davis, Chris Berman, Rodger Boyce, Eddie Jones, Lee Gideon, Coquina Dunn, Raul Flores, Geoff Garza",Paramount Pictures,33.0,30.0,46.0,9518.0
6,346,1033297,/m/0401sg,Resident Evil,2002,102441078.0,100.0,['English Language'],"['United States of America', 'France', 'Canada', 'United Kingdom', 'Germany']","['Thriller', 'Science Fiction', 'Horror', 'Adventure', 'Doomsday film', 'Sci-Fi Horror', 'Creature Film', 'Plague', 'Zombie Film', 'Action']",6.6,282973,Paul W.S. Anderson,Paul W.S. Anderson,"Milla Jovovich, Michelle Rodriguez, Eric Mabius, James Purefoy, Martin Crewes, Pasquale Aleardi, Colin Salmon, Heike Makatsch, Liz May Brice, Jaymes Butler, Stephen Billington, Anna Bolt, Joseph May, Fiona Glascott, Oscar Pearce, Ryan McCluskey, Indra Ove, Robert Tannion, Marc Logan-Black, Michaela Dicker, Torsten Jerabek",Columbia Tristar Pictures,36.0,129.0,67.0,446622.0
7,362,1858682,/m/061nbd,Monkey Business,1952,2000000.0,97.0,['English Language'],['United States of America'],"['Romantic comedy', 'Romance Film', 'Screwball comedy', 'Comedy', 'Black-and-white']",6.9,15252,Howard Hawks,"Ben Hecht, Charles Lederer, I.A.L. Diamond","Cary Grant, Ginger Rogers, Marilyn Monroe, Charles Coburn, Hugh Marlowe, Henri Letondal, Robert Cornthwaite, Larry Keating, Douglas Spencer, Esther Dale, George Winslow, George 'Foghorn' Winslow, Emmett Lynn, Joseph Mell, George Eldredge, Heinie Conklin, Kathleen Freeman, Olan Soule, Harry Carey Jr., Faire Binney, Bill McLean, Paul Maxey, Mack Williams, Howard Hawks, Forbes Murray, Marjorie Halliday, Harry Seymour, Harry Bartell, Harry Carter, Jerry Paris, Roger Moore, Ruth Warren, Isabel Withers, Olive Carey, Dabbs Greer, Russ Clark, Ray Montgomery, Melinda Plowman, Terry Goodman, Ronnie Clark, Rudy Lee, Mickey Little, Brad Mora, Jimmy Roebuck, Louis Lettieri, Robert Nichols, John R. McKee, Mary Field, Jerry Sheldon, Gil Stratton",Twentieth Century Fox Home Entertainment,88.0,25.0,68.0,8745.0
8,412,4783144,/m/0cn2s5,Suburban Girl,2007,,97.0,['English Language'],['United States of America'],"['Romantic comedy', 'Romance Film', 'Comedy', 'Indie']",5.4,7727,Marc Klein,Marc Klein,"Sarah Michelle Gellar, Alec Baldwin, James Naughton, Chris Carmack, Maggie Grace, Jay Rodan, Jason Antoon, Peter Scolari, Jill Eikenberry, Ebon Moss-Bachrach, Vanessa Branch, Melissa Brown, Nathan Corddry, Marian Seldes, Amad Jackson, Marin Ireland",Image Entertainment,50.0,8.0,31.0,5737.0
9,431,6004372,/m/0fk60h,Grace of My Heart,1996,617632.0,116.0,['English Language'],['United States of America'],"['Film à clef', 'Period piece', 'Musical', 'Drama', 'Comedy', 'Feminist Film', 'Musical Drama', 'Indie']",6.7,4020,Allison Anders,Allison Anders,"Illeana Douglas, John Turturro, Eric Stoltz, Bruce Davison, Matt Dillon, Jennifer Leigh Warren, Bridget Fonda, Patsy Kensit, Chris Isaak, Peter Fonda, Christina Pickles, Richard Schiff, Sissy Boyd, Jill Sobule, Tegan West, Natalie Venetia Belcon, Kathy Barbour, Diane Robin, Portrait, Eric Jerome Kirkland, Irving Eugene Washington III, Kurt Jackson, Michael Saulsberry, Drena De Niro, Christina Ehrich, Jade Gordon, Tracy Vilar, Amanda De Cadenet, Martin Valinsky, Lita Stevens, Larry Klein, Lucinda Jenney, Deidre Lewis, Redd Kross, Buster, John Nacco, Lynne Adams, Brittany English Stevens, Jeff McDonald, Steve McDonald, Johnny Thomas III, Harry Victor, Jeffrey McDonald, Steven McDonald, Irving Eugene Washington, Brian Reitzell, Christina Ehrlich, Melanie A. Gage, Albert Macklin, J Mascis, Eric A. Stromer, Robert Brunner, Chris Shearer, China Kantner, Andrew Williams, Paige Dylan, Alicia Jaffee, Alice Cohen, Kristen Vigard, Lita Hernandez, Delia Gonzalez, David Clennon, Precious Chong, Shawn Colvin, David Andrews",MCA Universal Home Video,75.0,24.0,80.0,2576.0
