,Unnamed: 0,Wikipedia_movie_ID,Freebase_movie_ID,Movie_name,Movie_release_date,Movie_box_office_revenue,Movie_runtime,Movie_languages,Movie_countries,Movie_genres,Directors,Authors,Actors_rotten,production_company,Critics_rotten_rating,Critic_rotten_count,Audience_rotten_rating,Audience_rotten_count
10,298,5549065,/m/0ds11z,Sweeney Todd: The Demon Barber of Fleet Street,2007,152523164.0,117.0,['English Language'],"['United States of America', 'United Kingdom']","['Crime Fiction', 'Tragedy', 'Horror', 'Supernatural', 'Musical', 'Drama']",Tim Burton,John Logan,"Johnny Depp, Helena Bonham Carter, Alan Rickman, Timothy Spall, Sacha Baron Cohen, Jamie Campbell Bower, Edward Sanders, Laura Michelle Kelly, Ed Sanders, Jayne Wisener, Ava May, Gabriella Freeman, Gracie May, Jody Halse",DreamWorks/Paramount Studios,86.0,229.0,81.0,1696053.0
11,306,2608958,/m/07rf_1,Nothing to Lose,1997,44480039.0,97.0,['English Language'],['United States of America'],"['Crime Fiction', 'Action/Adventure', 'Action', 'Buddy film', 'Comedy']",Steve Oedekerk,Steve Oedekerk,"Martin Lawrence, Tim Robbins, John C. McGinley, Giancarlo Esposito, Kelly Preston, Michael McKean, Rebecca Gayheart, Susan Barnes, Irma P. Hall, Patrick Cranshaw, Samaria Graham, Marcus T. Paulk, Penny Bae Bridges, Mary Jo Keenen, Steve Oedekerk, Lisa Mende, Clark Reiner, Ned Gill, Randy Oglesby, Steven M. Porter, Robert Louis Kempf, Dave Lea, Dan Martin, Lance August, Joe Minjares, Carl Sundstrom, Hank Garrett, Selma Stern, Caroline Keenan, Jim Meskimen, J.J. Boone, Kim Kim, Jodi Jinks, Willy Parsons, Victoria Redstall",Touchstone Pictures,28.0,25.0,68.0,47337.0
12,346,1033297,/m/0401sg,Resident Evil,2002,102441078.0,100.0,['English Language'],"['United States of America', 'France', 'Canada', 'United Kingdom', 'Germany']","['Thriller', 'Science Fiction', 'Horror', 'Adventure', 'Doomsday film', 'Sci-Fi Horror', 'Creature Film', 'Plague', 'Zombie Film', 'Action']",Paul W.S. Anderson,Paul W.S. Anderson,"Milla Jovovich, Michelle Rodriguez, Eric Mabius, James Purefoy, Martin Crewes, Pasquale Aleardi, Colin Salmon, Heike Makatsch, Liz May Brice, Jaymes Butler, Stephen Billington, Anna Bolt, Joseph May, Fiona Glascott, Oscar Pearce, Ryan McCluskey, Indra Ove, Robert Tannion, Marc Logan-Black, Michaela Dicker, Torsten Jerabek",Columbia Tristar Pictures,36.0,129.0,67.0,446622.0
13,362,1858682,/m/061nbd,Monkey Business,1952,2000000.0,97.0,['English Language'],['United States of America'],"['Romantic comedy', 'Romance Film', 'Screwball comedy', 'Comedy', 'Black-and-white']",Howard Hawks,"Ben Hecht, Charles Lederer, I.A.L. Diamond","Cary Grant, Ginger Rogers, Marilyn Monroe, Charles Coburn, Hugh Marlowe, Henri Letondal, Robert Cornthwaite, Larry Keating, Douglas Spencer, Esther Dale, George Winslow, George 'Foghorn' Winslow, Emmett Lynn, Joseph Mell, George Eldredge, Heinie Conklin, Kathleen Freeman, Olan Soule, Harry Carey Jr., Faire Binney, Bill McLean, Paul Maxey, Mack Williams, Howard Hawks, Forbes Murray, Marjorie Halliday, Harry Seymour, Harry Bartell, Harry Carter, Jerry Paris, Roger Moore, Ruth Warren, Isabel Withers, Olive Carey, Dabbs Greer, Russ Clark, Ray Montgomery, Melinda Plowman, Terry Goodman, Ronnie Clark, Rudy Lee, Mickey Little, Brad Mora, Jimmy Roebuck, Louis Lettieri, Robert Nichols, John R. McKee, Mary Field, Jerry Sheldon, Gil Stratton",Twentieth Century Fox Home Entertainment,88.0,25.0,68.0,8745.0
14,399,20506905,/m/04zy_f7,Perrier's Bounty,2010,160430.0,88.0,['English Language'],"['Ireland', 'United Kingdom']","['Thriller', 'Crime Fiction', 'Crime Comedy', 'Action/Adventure', 'Drama', 'Comedy', 'Crime Thriller', 'Action']",Ian Fitzgibbon,Mark O'Rowe,"Cillian Murphy, Brendan Gleeson, Jim Broadbent, Jodie Whittaker, Michael McElhatton, Don Wycherley, Liam Cunningham, Brendan Coyle, Conleth Hill, Domhnall Gleeson, Pat McCabe, Ned Dennehy, Glenn Speers, Padraic Delaney, Nathalie Britton, Breffni McKenna, Natalie Britton, Francis Magee, Wuzza Conlon, Brendan F. Dempsey, Brian Doherty, Jane Brennan, Michael Fitzgerald, Chris Newman, Andrew Simpson, Gabriel Byrne",IFC Films,56.0,43.0,47.0,5585.0
15,406,15297854,/m/03m3zmd,CSNY Déjà Vu,2008,,96.0,['English Language'],['United States of America'],"['Political cinema', 'Rockumentary', 'Indie', 'Documentary']","Neil Young, Welton Benjamin Johnson","Neil Young, Mike Cerre, Mike Cerre","David Crosby, Neil Young, Graham Nash, Stephen Stills, Mike Cerre, Josh Hisle, Bo Alexander, Michael Lemke, Karen Meredith, Darrell Anderson, Tammy Duckworth, Patrick Murphy, Stephen Colbert, Crosby Stills & Nash",Roadside Attractions,68.0,41.0,71.0,488.0
16,412,4783144,/m/0cn2s5,Suburban Girl,2007,,97.0,['English Language'],['United States of America'],"['Romantic comedy', 'Romance Film', 'Comedy', 'Indie']",Marc Klein,Marc Klein,"Sarah Michelle Gellar, Alec Baldwin, James Naughton, Chris Carmack, Maggie Grace, Jay Rodan, Jason Antoon, Peter Scolari, Jill Eikenberry, Ebon Moss-Bachrach, Vanessa Branch, Melissa Brown, Nathan Corddry, Marian Seldes, Amad Jackson, Marin Ireland",Image Entertainment,50.0,8.0,31.0,5737.0
17,431,6004372,/m/0fk60h,Grace of My Heart,1996,617632.0,116.0,['English Language'],['United States of America'],"['Film à clef', 'Period piece', 'Musical', 'Drama', 'Comedy', 'Feminist Film', 'Musical Drama', 'Indie']",Allison Anders,Allison Anders,"Illeana Douglas, John Turturro, Eric Stoltz, Bruce Davison, Matt Dillon, Jennifer Leigh Warren, Bridget Fonda, Patsy Kensit, Chris Isaak, Peter Fonda, Christina Pickles, Richard Schiff, Sissy Boyd, Jill Sobule, Tegan West, Natalie Venetia Belcon, Kathy Barbour, Diane Robin, Portrait, Eric Jerome Kirkland, Irving Eugene Washington III, Kurt Jackson, Michael Saulsberry, Drena De Niro, Christina Ehrich, Jade Gordon, Tracy Vilar, Amanda De Cadenet, Martin Valinsky, Lita Stevens, Larry Klein, Lucinda Jenney, Deidre Lewis, Redd Kross, Buster, John Nacco, Lynne Adams, Brittany English Stevens, Jeff McDonald, Steve McDonald, Johnny Thomas III, Harry Victor, Jeffrey McDonald, Steven McDonald, Irving Eugene Washington, Brian Reitzell, Christina Ehrlich, Melanie A. Gage, Albert Macklin, J Mascis, Eric A. Stromer, Robert Brunner, Chris Shearer, China Kantner, Andrew Williams, Paige Dylan, Alicia Jaffee, Alice Cohen, Kristen Vigard, Lita Hernandez, Delia Gonzalez, David Clennon, Precious Chong, Shawn Colvin, David Andrews",MCA Universal Home Video,75.0,24.0,80.0,2576.0
18,464,24021571,/m/07kbj2s,Just Wright,2010,21570263.0,101.0,['English Language'],['United States of America'],"['Romantic comedy', 'Sports', 'Drama', 'Comedy', 'Romantic drama', 'Romance Film']",Sanaa Hamri,Michael Elliot,"Queen Latifah, Common, Paula Patton, Phylicia Rashad, Mehcad Brooks, Pam Grier, James Pickens Jr., Laz Alonso, Michael Landes, Dwight Howard, Dwyane Wade, Rashard Lewis, Jalen Rose, Rajon Rondo, Marv Albert, Kenny Smith, Stuart Scott, Elton Brand, Bobby Simmons, Mike Fratello, J.J. Thorne, Tim Walsh, Rod Thorn, Leo Ehrline, Richard D'Alessandro, Lindsay Michelle Nader, Peter Hermann, Kim Strother, Leo Allen, Richard D'Allesandro, Terence Blanchard, Fabian Almazan, Ben Street, Kendrick Scott, Brély Evans, Rupak Ginn, Paolo Montalban, Allen Iaccarino, Marty Krzywonos, Joe Felix, Lauren Dellolio, Deborah S. Craig, Neville Page, Otis Best Jr., Divine Compere, Larkey Cummings, Gustavo Cunha, Kedric Dines Jr., Corey Elvin, Andrew Lewis, Carter Lewis, Michael Murry, DeAndre Pierre, Lance Rivera Jr., Iman Watson, Elijah Wright",20th Century Fox,46.0,109.0,61.0,108519.0
19,473,1226289,/m/04k12v,Bless the Child,2000,40443010.0,107.0,['English Language'],"['United States of America', 'Germany']","['Thriller', 'Mystery', 'Horror', 'Supernatural']",Chuck Russell,"Tom Rickman, Ellen Green, Clifford Green","Kim Basinger, Jimmy Smits, Holliston Coleman, Rufus Sewell, Angela Bettis, Christina Ricci, Ian Holm, Michael Gaston, Lumi Cavazos, Dimitra Arliss, Eugene Lipinski, Anne Betancourt, Helen Stenborg, Matthew Lemche, Dan Warry-Smith, Elisabeth Rosen, Tony Del Rio, Nicole Lyn, Michael McLachlan, Jonathan Malen, Vince Corazza, David Eisner, Gary Hudson, Samantha O'Dwyer, Nicolas Marti Salgado, Marcia Bennett, Peter Mensah, Yan Birch, Alexa Gilmour, Wanda Lee Evans, Cedric Smith, Dwayne McLean, Brenda Divine, Lauren Spring, Trevor Bain, Brian Heighton, Chris Marren, Todd Schroeder, John Healy, Dylan Harman, David Sparrow, Michael Copeman, Neil Girvan, Carol Lempert, Kelvin Wheeler, Tony Meyler, Richard Carmichael, Roman Podhora, Dean Gabourie, Arnold Pinnock, Teresa Pavlinek, Jeffrey Caudle, Catherine Fitch, Neville Edwards, John Shepherd, Norma Edwards, Leeza Gibbons, Dan Duran, Sandi Stahlbrand, Mia Lee, Matt Birman, Meredith McGeachie, Henry Alessandroni, Austin Reed, Corrina Reed, Brianna Reed, Christopher Redman C New Dawn Intern, Jovanni Sy",Paramount Pictures,3.0,111.0,43.0,35259.0
20,498,44218,/m/0c1p3,San Francisco,1936,2868000.0,115.0,['English Language'],['United States of America'],"['Disaster', 'Romance Film', 'Drama', 'Natural disaster', 'Black-and-white']","D.W. Griffith, W.S. Van Dyke","Anita Loos, Erich von Stroheim, Robert E. Hopkins","Clark Gable, Jeanette MacDonald, Spencer Tracy, Jack Holt, Ted Healy, Margaret Irving, Jessie Ralph, Harold Huber, Al Shean, Kenneth Harlan, William Ricciardi, Roger Imhof, Frank Mayo, Charles Judels, Russell Simpson, Bert Roach, Warren Hymer, Edgar Kennedy, Shirley Ross, Tandy MacKenzie, Tudor Williams, Spec O'Donnell, Bob McKenzie, Adrienne D'Ambricourt, Nigel De Brulier, Mae Digges, Nyas Berry, John Kelly, Jim Farley, Pat O'Malley, Otho Wright, Gertrude Astor, Ruth Gillette, Tom Dugan, Vince Barnett, Belle Mitchell, Fred M. Fagan, W.J. O'Brien, James Brewster Thompson, Samuel Glasser, John Pearson, Jason Robards Sr., William Newell, James Macklin, Tom McGuire, Wilbur Mack, Harry Myers, Edward Hearn, Henry Roquemore, G. Pat Collins, Harry Strang, Vernon Dent, Irving Bacon, Orrin Burke, David Thursby, John 'Skins' Miller, Helen Shipman, George Guhl, Edward Earle, Maude Allen, Jack Baxley, Carl Stockdale, Anthony Jowitt, Jane Barnes, Richard Carle, Oscar Apfel, Frank Sheridan, Ralph Lewis, Chester Gan, Jack Kennedy, Bill O'Brien, Cy Kendall, Don Rowan, Sherry Hall, Jason Robards Sr., Ben Taggart, Dennis O'Keefe, Charles Sullivan, Beatrice Roberts, Bruce Mitchell, Sidney Bracey, Tommy Bupp, Sam Ash, Bud Geary, George Magrill, King Baggot, Rhea Mitchell, Flora Finch, Fritzi Brunette, Helene Chadwick, Naomi Childers, Rosemary Theby, Jean Acker, Donald Hall",MGM,100.0,11.0,70.0,1337.0
21,567,9404578,/m/0287gvq,The Lady Vanishes,1938,,97.0,['English Language'],['United Kingdom'],"['Thriller', 'Psychological thriller', 'Black-and-white', 'Mystery', 'Comedy', 'Spy']",Alfred Hitchcock,"Alma Reville, Sidney Gilliat, Frank Launder, Alfred Hitchcock","Margaret Lockwood, Michael Redgrave, Paul Lukas, Dame May Whitty, Cecil Parker, Linden Travers, Mary Clare, Naunton Wayne, Basil Radford, Emile Boreo, Philip Leaver, Selma Vas Dias, Catherine Lacey, Josephine Wilson, Googie Withers, Sally Stewart, Alfred Hitchcock, Charles Oliver, Zelma Vas Dias, Kathleen Tremaine",Gaumont British Picture Corporation,98.0,44.0,88.0,13018.0
22,763,8316526,/m/026_5m2,Lifeguard,1976,,96.0,['English Language'],['United States of America'],['Drama'],Daniel Petrie Sr.,Ron Koslow,"Sam Elliott, Anne Archer, Stephen Young, Parker Stevenson, Kathleen Quinlan, Steve Burns, Sharon Weber, Mark Hall, Lenka Peterson, Scott Lichtig, Paul Kent, Jo Gilbert, Russ Marin, Vivian Brown, James Beard, David McKnight, Bill Joyce",Paramount Pictures,40.0,5.0,73.0,514.0
23,764,817057,/m/03dwzc,Outland,1981,,109.0,['English Language'],['United Kingdom'],"['Thriller', 'Crime Fiction', 'Science Fiction', 'Adventure', 'Western', 'Space western', 'Hybrid Western']",Peter Hyams,Peter Hyams,"Sean Connery, Peter Boyle, Frances Sternhagen, James B. Sikking, Kika Markham, Clarke Peters, Steven Berkoff, John Ratzenberger, Nicholas Barnes, Manning Redwood, Pat Starr, Hal Galili, Phillip Johnston, Angus MacInnes, Stuart Milligan, Eugene Lipinski, Norman Chancer, Ron Travis, Anni Domingo, Bill Bailey, Chris Williams, Marc Boyle, Richard Hammat, James Berwick, Gary Olsen, Isabelle Lucas, Sharon Duce, Angelique Rockas, Judith Alderson, Rayner Bourton, Nori Morgan, Julia Depyer, Nina Francoise, Brendan Hughes, Philip Johnston, Norri Morgan, P.H. Moriarty, Doug Robinson",Warner Home Video,56.0,25.0,54.0,8433.0
24,771,399402,/m/023p33,Cinderella,1950,85000000.0,74.0,['English Language'],['United States of America'],"['Romance Film', 'Fantasy', 'Family Film', 'Musical', 'Animation']","Clyde Geronimi, Wilfred Jackson, Hamilton Luske","Ken Anderson, Bill Peet, Erdman Penner, Ted Sears, Homer Brightman, Winston Hibler, Harry Reeves, Joe Rinaldi","Ilene Woods, Eleanor Audley, Verna Felton, William Phipps, Rhoda Williams, James MacDonald (II), Luis Van Rooten, Don Barclay, Lucille Bliss, Mike Douglas, Marion Darlington, June Foray, Betty Lou Gerson, Claire Du Brey, Helene Stanley, Sylvia Guillem, Charles Judels, Donald Barclay",Walt Disney Pictures,97.0,35.0,80.0,862184.0
25,839,5240350,/m/0d9j9b,Big Bad Mama,1974,4000000.0,83.0,['English Language'],['United States of America'],"['Crime Fiction', 'Action/Adventure', 'Action', 'Comedy', 'Crime Thriller']",Steve Carver,"William Norton, Frances Doel","Angie Dickinson, William Shatner, Tom Skerritt, Susan Sennett, Robbie Lee, Noble Willingham, Susan Sennet, Joan Prather, Royal Dano, William O'Connell, Ralph James, Dick Miller, Tom Signorelli, John Wheeler, Sally Kirkland, Shannon Christie, Michael Talbott, Rob Berger, Wally K. Berns, Charles Pinney, Georgia Lee, Jay Brooks, Paul Linke, Mickey Fox, William F. Engle",New World,71.0,14.0,41.0,4324.0
26,877,249406,/m/01l0jh,Holiday Inn,1942,,101.0,['English Language'],['United States of America'],"['Romantic comedy', 'Christmas movie', 'Black-and-white', 'Musical comedy', 'Musical', 'Comedy', 'Romance Film']",Mark Sandrich,"Claude Binyon, Elmer Rice","Bing Crosby, Fred Astaire, Marjorie Reynolds, Virginia Dale, Walter Abel, Louise Beavers, Marek Windheim, John Gallaudet, Jacques Vanaire, James Bell, Irving Bacon, Shelby Bacon, Leon Belasco, Joan Arnold, Harry Barris, Edward Arnold Jr., Oscar G. Hendrian, Judith Gibson, Reed Porter, Joann Arnold, Karin [Katharine] Booth, Laurie Douglas, June Ealey, Lynda Grey, Bud Jamison, Kitty Kelly, Lora Lee Michel, Barbara Slater, David Tihmar, Robert E. Homans, Louise LaPlanche, Ronnie Rondell Jr., Bob Locke Lorraine",MCA Universal Home Video,100.0,25.0,86.0,11861.0
27,927,6244632,/m/0fymw0,Crossover,2006,7009668.0,95.0,['English Language'],['United States of America'],"['Sports', 'Coming of age', 'Action', 'Drama', 'Teen']",Preston A. Whitmore II,Preston A. Whitmore II,"Eva Marcille, Anthony Mackie, Wayne Brady, Wesley Jonathan, Kristen Wilson, Lil' JJ, Phillip ""Hot Sauce"" Champion, Alecia Fears, Tamer Alwer Falli, Neil Richardson",Sony Pictures Entertainment,2.0,65.0,59.0,102535.0
28,938,10990102,/m/02qxffp,The Left Handed Gun,1958,,102.0,['English Language'],['United States of America'],"['Action/Adventure', 'Western', 'Drama', 'Biographical film', 'Black-and-white']",Arthur Penn,Leslie Stevens,"Paul Newman, Lita Milan, John Dehner, Hurd Hatfield, James Congdon, James Best, Colin Keith-Johnston, John Dierkes, Robert Anderson, Wally Brown, Ainslie Pryor, Martin Garralaga, Denver Pyle, Paul L. Smith, Nestor Paiva, Jo Summers, Robert Foulk, Anne Barton",Warner Bros. Pictures,90.0,10.0,54.0,689.0
29,941,1231856,/m/04kkxx,For Love of the Game,1999,46112640.0,137.0,['English Language'],['United States of America'],"['Sports', 'Romantic drama', 'Romance Film', 'Drama']",Sam Raimi,Dana Stevens,"Kevin Costner, Kelly Preston, John C. Reilly, Jena Malone, Brian Cox, Vin Scully, J.K. Simmons, Steve Lyons, Carmine Giovinazzo, Bill E. Rogers, Hugh Ross, Greer Barnes, Bill Rodgers, Domenick Lombardozzi, Arnetia Walker, Larry Joshua, Scott Bream, José Mota, Earl Johnson, Chris Lemonis, Jesse Ibarra, Pedro Swann, Michael Rivera, David Eiland, Jose Lisi, Jim Colborn, Michael Borzello, Paul Bradshaw, Gene Kirley, Chris Fischer, Jonathan Marc McDonnell, Barry Bradford, Kevin Craig West, Wes Said Drake, Luis Moro, Michael Papajohn, John Darjean Jr., Donzell McDonald, Scott Pose, Vick Brown, Chris Ashby, Bill Masse, Mike Buddie, Eric Knowles, Ricky Ledee, Juan Pablo Nieves Dominguez, Augie Garrido, Rick Reed, Rich Garcia, Jerry Crawford, Robert Leo Shepard, Eddie Layton, Robinson Frank Adu, T. Sean Ferguson, Victor Colicchio, David Mucci, Jacob Reynolds, Maurice Shrog, Karen Williams, Tracy Middendorf, William Newman, P.J. Barry, Frank Girardeau, Caterina Zapponi, Monty Alexander, Daniel Dae Kim, Judith Drake, Bill Vincent, Billy V. Costner, Sharon Rae Costner, Mark Thomason, Laura Cayouette, Christopher Cousins, Ted Raimi, Michael Emerson, Shelly Desai, Lucinda Faraldo, Ed Morgan, Brian Donald Hickey, Tracy Perry",Universal Pictures,46.0,94.0,75.0,43557.0
30,946,161877,/m/015gl2,This Sporting Life,1963,,134.0,['English Language'],['United Kingdom'],"['Kitchen sink realism', 'Sports', 'Drama', 'British New Wave', 'Romantic drama', 'Romance Film']",Lindsay Anderson,David Storey,"Richard Harris, Rachel Roberts, Alan Badel, William Hartnell, Colin Blakely, Vanda Godsell, Arthur Lowe, Anne Cunningham, Jack Watson, Harry Markham, George Sewell, Leonard Rossiter, Frank Windsor, Peter Duguid, Wallas Eaton, Anthony Woodruff, Katherine Parr, Bernadette Benson, Andrew Nolan, Glenda Jackson, Michael Logan, Murray Evans, Tom Clegg, John Gill, Ken Traill, Lois Sutcliffe Smith",Continental,95.0,21.0,87.0,1895.0
31,948,24813200,/m/09g6wg2,Kisses and Caroms,2006,,81.0,['English Language'],['United States of America'],"['Romantic comedy', 'Romance Film', 'Comedy', 'Indie']",Vince Rocca,"Michael Hutchinson, Vince Rocca","Nicole Rayburn, Nicola Rayburn, Drew Wicks, Nikki Stanzione, Ryan Parks, Ginger Lynn Allen, Keith Alexander, Kay Nine, Bart Shattuck, Patty Souza, Robert Vincenti",Poverty Works,40.0,5.0,22.0,987.0
