,Unnamed: 0,Wikipedia_movie_ID,Freebase_movie_ID,Movie_name,Movie_release_date,Movie_box_office_revenue,Movie_runtime,Movie_languages,Movie_countries,Movie_genres,Directors,Authors,Actors_rotten,production_company,Critics_rotten_rating,Critic_rotten_count,Audience_rotten_rating,Audience_rotten_count
0,13,171005,/m/016ywb,Henry V,1989,10161099.0,137.0,['English Language'],['United Kingdom'],"['Costume drama', 'War film', 'Epic', 'Period piece', 'Drama', 'Film adaptation']",Kenneth Branagh,Kenneth Branagh,"Kenneth Branagh, Derek Jacobi, Brian Blessed, Ian Holm, Simon Shepherd, James Larkin, James Simmons, Paul Gregory, Charles Kay, Alec McCowen, Fabian Cartwright, Stephen Simms, Jay Villiers, Edward Jewesbury, Danny Webb, Jimmy Yuill, John Sessions, Shaun Prendergast, Pat Doyle, Michael Anthony Williams, Richard Briers, Geoffrey Hutchings, Robert Stephens, Robbie Coltrane, Christian Bale, Judi Dench, Paul Scofield, Michael Maloney, Richard Innocent, Richard Clifford, Colin Hurley, Patrick Doyle, Richard Easton, Christopher Ravenscroft, Emma Thompson, Geraldine McEwan, David Lloyd Meredith, David Parfitt, Nicholas Ferguson, Tom Whitehouse, Nigel Greaves, Julian Gartside, Calum Yuill, Mark Inman, Chris Armstrong, Simon Rattle",MGM Home Entertainment,100.0,40.0,89.0,13465.0
1,60,5708633,/m/0f0d1p,The Great New Wonderful,2006,172055.0,87.0,['English Language'],['United States of America'],"['Drama', 'Ensemble Film', 'Comedy-drama', 'Indie']",Danny Leiner,Sam Catlin,"Maggie Gyllenhaal, Tom McCarthy, Judy Greer, Naseeruddin Shah, Tony Shalhoub, Olympia Dukakis, Edie Falco, Will Arnett, Seth Gilliam, Rosemarie DeWitt, Anita Gillette, Tony Kushner, Billy Donner, Tom Ford (VIII), Jim Gaffigan, Sharat Saxena, Dick Latessa, Stephen Colbert, Jeremy Shamos, Bill Donner, Jim Parsons, Martha Millan, Ed Setrakian, Marilyn Chris, Kapil Bawa, Sam Catlin, Ari Graynor, Priscilla Shanks, Mario Polit, Meredith Ostrom, Nicky ""Pop"" Anest, Julie Dretzin, Alexis Dziena, Alex McCord, Nancy McDoniel, Bernie McInerney, K'Dee Miller, Rajika Puri, Finnerty Steeves",First Independent Pictures,73.0,41.0,45.0,18687.0
2,99,12788657,/m/02x4zpv,The Boston Strangler,1968,17810894.0,116.0,['English Language'],['United States of America'],"['Crime Fiction', 'Mystery', 'Thriller', 'Drama', 'Crime Thriller']",Richard Fleischer,Edward Anhalt,"Tony Curtis, Henry Fonda, George Kennedy, Mike Kellin, Hurd Hatfield, Murray Hamilton, Jeff Corey, Sally Kellerman, William Marshall, George Voskovec, Leora Dana, Carolyn Conwell, Jeanne Cooper, Austin Willis, Lara Lindsay, George Furth, Richard X. Slattery, William Hickey, Eve Collyer, Gwyda DonHowe, Alex Dreier, John Cameron Swayze, Shelley Burton, Elizabeth Baur, Dana Elcar, William Traylor, Carole Shelley, James Brolin, George Tyne, Karen Huston, Enid Markey, Almira Sessions, Richard Krisher, Arthur Hanson, Walter Klavun, Tim Herbert, Janis Young, George Fisher, Greg Benedict, Tom Aldredge, Nancie Phillips, Marie Thomas",20th Century Fox Film Corp.,86.0,14.0,78.0,58.0
3,107,29375144,/m/0djbd6g,The High Cost of Living,2011,,92.0,['English Language'],['Canada'],"['Drama', 'Indie']",Deborah Chow,Deborah Chow,"Zach Braff, Isabelle Blais, Patrick Labbé, Julian Lo",Tribeca Films,53.0,15.0,57.0,790.0
4,122,164387,/m/015wmg,...And Justice for All,1979,33300000.0,120.0,['English Language'],['United States of America'],"['Thriller', 'Crime Fiction', 'Comedy-drama', 'Mystery', 'Satire', 'Drama', 'Comedy', 'Legal drama', 'Courtroom Drama', 'New Hollywood', 'Suspense']",Norman Jewison,"Barry Levinson, Valerie Curtin","Al Pacino, Jack Warden, John Forsythe, Lee Strasberg, Jeffrey Tambor, Christine Lahti, Sam Levene, Robert Christian, Thomas G. Waites, Larry Bryggman, Craig T. Nelson, Dominic Chianese, Victor Arnold, Vincent Beck, Michael Gorrin, Baxter Harris, Joe Morton, Alan North, Tom Quinn, Beverly Sanders, Connie Sawyer, Charles Siebert, Robert Symonds, Keith Andes, Stephen Blackmore, Vasili Bogazianos, Jack Hollander",Columbia Pictures,83.0,29.0,80.0,19067.0
5,191,23445121,/m/06wbrsg,No Impact Man: The Documentary,2009,,92.0,['English Language'],['United States of America'],"['Indie', 'Documentary']","Justin Schein, Laura Gabbert",,"Colin Beavan, Michelle Conlin, Isabella Beavan",Oscilloscope Pictures,83.0,48.0,63.0,2251.0
6,223,1588008,/m/05dpjl,Heidi Fleiss: Hollywood Madam,1995,,106.0,['English Language'],"['United States of America', 'Canada', 'United Kingdom', 'Germany']","['Biography', 'Political drama', 'Comedy']",Nick Broomfield,,"Madam Alex, Cookie, Heidi Fleiss, Ivan Nagy, Nick Broomfield, Madame Alex, Victoria Sellers, 'Cookie', Daryl Gates, L'Hua Reid, Ron Jeremy, Vicky Deger, Corinne Bohrer, Nick Hamm, Jim Butcher, Julianna Reese",BMG,75.0,8.0,47.0,1228.0
7,226,5696825,/m/0d_ng1,The Dark Half,1993,,122.0,['English Language'],['United States of America'],"['Film adaptation', 'Horror', 'Psychological thriller', 'Supernatural']",George A. Romero,George A. Romero,"Timothy Hutton, Amy Madigan, Michael Rooker, Julie Harris, Robert Joy, Rutanya Alda, Chelsea Field, Kent Broadhurst, Tom Mardirosian, Patrick Brannan, Larry John Meyers, Christine Forrest, Royal Dano, Beth Grant, Christina Romero, Rohn Thomas, Molly Renfroe, Judy Grafe, Nardi Novak, John Machione, Zachary Mott, William Cameron, Erik Jensen, David W. Butler, Glenn Colerider, Curt Debor, Drinda La Lumia, Lamont Arnold, Lee Hayes, Bruce Kirkpatrick, David Earle, Jeff Monahan, Jeff Howell, J. Michael Hunter",Orion Home Video,58.0,33.0,37.0,8965.0
8,287,4069274,/m/0bghc4,When Will I Be Loved,2004,,81.0,['English Language'],['United States of America'],"['Erotic Drama', 'Erotica', 'Erotic thriller', 'Drama', 'Romantic drama', 'Romance Film', 'Indie']",James Toback,James Toback,"Neve Campbell, Frederick Weller, Dominic Chianese, Keith Weller, Karen Allen, Barry Primus, Richard Turley, James Toback, Michael Mailer, Jason Pendergraft, Joelle Carter, Megan Pepin, Damon Dash, Oli ""Power"" Grant, Alex Feldman, Erin Omar, Saif Tahsir, Jean-Pierre Vertus, Victor Colletti, Meredith Ostrom, Jamison Ernest, Thomas Patti, Cara Hamill, Bridget Lee Hall, Brandon Sommers, Oliver Grant, James Parris, Christina Rotholz, Mike Tyson, Lori Singer, Robert Covelman, Ashley Shelton, Michele Marie, Luca Mosca, Emily Coker, Allessandra Stewart",IFC Films,32.0,73.0,32.0,3183.0
9,289,3681139,/m/09v460,Necessary Roughness,1991,26255594.0,108.0,['English Language'],['United States of America'],"['Sports', 'Comedy']",Stan Dragoti,"Rick Natkin, David J. Fuller, John Fasano","Scott Bakula, Hector Elizondo, Robert Loggia, Harley Jane Kozak, Larry Miller, Sinbad, Fred Dalton Thompson, Rob Schneider, Jason Bateman, Andrew Bryniarski, Duane Davis, Michael Dolan, Marcus Giamatti, Kathy Ireland, Louis Mandylor, Andrew Lauer, Peter Navy Tuiasosopo, Mindy Marin, Darryl Cox, Evander Holyfield, Scott Thomson, Dick Butkus, Earl Campbell, Michael Petty, Roger Craig, Spencer Prokop, Ben Davidson, Tony Dorsett, Dave Tanner, Ed Jones, Jim Kelly, Jerry Rice, Herschel Walker, Randy Wayne White, Scott Davis, Chris Berman, Rodger Boyce, Eddie Jones, Lee Gideon, Coquina Dunn, Raul Flores, Geoff Garza",Paramount Pictures,33.0,30.0,46.0,9518.0
