,Unnamed: 0,Movie_name,Movie_release_date,Success_indicator,Title_length,Title_characters,Nouns,Pronouns,Adjectives,Verbs,Adverbs,Prepositions,Conjunctions,Interjections,ORGANIZATION,PERSON,LOCATION,DATE,TIME,MONEY,PERCENT,FACILITY,GPE,pos_sentiment,neg_sentiment
0,1,Seal Team,2021,0.5486566203154339,2,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
1,2,Pieces of a Woman,2020,0.5122859316664825,4,17,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
2,3,Abigail,2019,-0.6308040521442788,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
3,4,Taylor Swift: Reputation Stadium Tour,2018,1.615221243447628,5,37,5,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0.31,0.0
4,5,Cake,2014,-0.5730194085286572,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
5,7,Ninja: Shadow of a Tear,2013,0.2578899746514452,5,23,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
6,8,Force of Execution,2013,-1.426428147919899,3,18,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
7,13,Clifford the Big Red Dog,2021,0.061823012494766,5,24,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
8,14,Hilda and the Mountain King,2021,1.0969397399658516,5,27,3,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0.0,0.0
9,15,The Star,2017,-0.4637405208364591,2,8,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0
10,16,Anomalisa,2015,-0.1129513658601066,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
11,29,Passengers,2016,0.3232746078316008,1,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
12,41,Encanto at the Hollywood Bowl,2022,0.8004104978536036,5,29,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0.0,0.0
13,44,Frozen II,2019,2.492057798841327,2,9,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0
14,45,Black Mirror: Bandersnatch,2018,0.844385617997544,3,26,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.0,0.0
15,46,20th Century Women,2016,0.0071255822496743,3,18,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0
16,52,Jexi,2019,-0.2186641926552145,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
17,62,Puss in Boots: The Last Wish,2022,1.2920513053218257,6,28,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0.351,0.0
18,63,"Lyle, Lyle, Crocodile",2022,0.2668804832549293,3,21,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0.0,0.0
19,64,Triangle of Sadness,2022,-0.0293391264633801,3,19,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0.0,0.592
20,65,The Banshees of Inisherin,2022,0.1655623145654015,4,25,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0.0,0.0
21,66,Whitney Houston: I Wanna Dance with Somebody,2022,-0.1180573520596462,7,44,4,1,1,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0.0,0.0
22,67,The Lost King,2022,0.376541912074142,3,13,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.535
23,68,Sing 2,2021,1.0513033164085597,2,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
24,69,The Matrix Resurrections,2021,-0.2026025280898143,3,24,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0
25,71,Licorice Pizza,2021,-0.1263607631960959,2,14,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
26,72,West Side Story,2021,-0.0007986905256904,3,15,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.0,0.0
27,73,West Side Story,2021,-0.045511047875866,3,15,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.0,0.0
28,74,The Tragedy of Macbeth,2021,0.6069520186037269,4,22,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0.0,0.595
29,75,Wonder Woman 1984,2020,-0.1779643015947928,3,17,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0
30,76,Jumanji: The Next Level,2019,1.1519913625450535,4,23,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
31,77,Jojo Rabbit,2019,0.5947657870852092,2,11,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.0,0.0
32,79,Cats,2019,-1.6371496198709732,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
33,80,Aquaman,2018,1.789804281238995,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
34,81,The Favourite,2018,0.2730898482484433,2,13,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0
35,82,Vice,2018,0.0019695570615193,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
36,84,Holmes & Watson,2018,-1.6376348944711066,3,15,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0.0,0.0
37,85,Coco,2017,1.9484795596176616,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
38,86,Call Me by Your Name,2017,0.5759142018836058,5,20,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
39,87,Jumanji: Welcome to the Jungle,2017,1.4520426474511914,5,30,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.429,0.0
40,88,The Greatest Showman,2017,1.1122282994731931,3,20,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.677,0.0
41,89,Downsizing,2017,-1.0458164688930331,1,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
42,90,Breathe,2017,0.1040980331124356,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
43,91,Moana,2016,1.3292100854547224,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
44,92,Why Him?,2016,-0.3030127650380821,2,8,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0
45,93,Goosebumps,2015,-0.2790100444103917,1,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
46,94,Alvin and the Chipmunks: The Road Chip,2015,-0.2791368686611988,7,38,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0.0,0.0
47,95,Daddy's Home,2015,-0.1216046423229929,2,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
48,97,The Danish Girl,2015,0.286719670507024,3,15,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0
49,98,Joy,2015,-0.2741208294732849,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0.0
50,100,The Hobbit: The Battle of the Five Armies,2014,1.7575583725313184,8,41,4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.0,0.271
51,101,Night at the Museum: Secret of the Tomb,2014,0.0308699623066175,8,39,4,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0.0,0.0
52,102,My Little Pony: Equestria Girls - Rainbow Rocks,2014,0.4442523139524468,8,47,5,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0.0,0.0
53,103,St. Vincent,2014,-0.0205730347272311,2,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
54,104,Frozen,2013,2.3334876802230164,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
55,105,The Hobbit: The Desolation of Smaug,2013,1.9921563274692875,6,35,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
56,106,The Secret Life of Walter Mitty,2013,0.2918397720037536,6,31,4,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0.0,0.0
57,107,Saving Mr. Banks,2013,0.2660643294489098,3,16,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0
58,188,American Underdog,2021,0.0875571664519619,2,17,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.0,0.0
59,189,Soul,2020,0.7348013435943007,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
60,191,We Can Be Heroes,2020,0.2918076442759114,4,16,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0.524,0.0
61,198,The Last Dragonslayer,2016,-0.2397378173872576,3,21,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
62,199,The Peanuts Movie,2015,0.2324556163689764,3,17,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0
63,202,Big Hero 6,2014,1.43351109550272,3,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.783,0.0
64,203,Nymphomaniac: Vol. II,2013,-0.2844125547178582,3,21,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
65,204,The Physician,2013,0.0991852527379805,2,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
66,221,Code 8,2019,-0.6339070040509371,2,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
67,225,Philomena,2013,0.2355088665394455,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
68,236,Benediction,2021,0.0511520815038515,1,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
69,239,Agatha and the Truth of Murder,2018,-0.6340431743550803,6,30,3,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,2,0.209,0.427
70,259,The Pale Blue Eye,2022,0.1462954075370342,4,17,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0
71,262,War of the Worlds: Annihilation,2021,-0.5703694673600224,5,31,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.494
72,265,Silence,2016,-0.0796732540445235,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
73,266,Sexology,2016,-1.0273138494876712,1,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
74,283,"ariana grande: excuse me, i love you",2020,1.710853461236769,7,36,1,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.579,0.0
75,285,Renegades,2018,-0.9151036192348496,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
76,286,Between Worlds,2018,-0.3787603471352687,2,14,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.0,0.0
77,288,Paddington 2,2017,0.5159020308731941,2,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
78,289,The Florida Project,2017,0.0669779562670779,3,19,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0
79,314,Togo,2019,1.8264889413755947,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
80,316,Bumblebee,2018,0.4738376183484553,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
81,318,At Eternity's Gate,2018,0.4831513063358745,3,18,2,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0.0,0.0
82,319,13 Sins,2017,-0.5773703250482278,2,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.75
83,342,Star Wars: The Rise of Skywalker,2019,1.346177443536981,6,32,4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,2,0.0,0.419
84,343,Johnny English Strikes Again,2018,-0.2950296447926724,4,28,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.0,0.455
85,347,The Imitation Game,2014,0.8142203053812423,3,18,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0
86,348,Annie,2014,-0.3713055972812937,1,5,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0
87,349,Anchorman 2: The Legend Continues,2013,-0.3619452562326093,5,33,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.0
88,372,Breach,2020,-1.7118677022730648,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
89,373,Sister of the Groom,2020,-0.3535687677704145,4,19,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
90,374,In Full Bloom,2020,1.1366199767400955,3,13,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
91,379,Delivery Man,2014,-0.4728998420826732,2,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0.0
92,401,Snow Day,2022,-0.1988906100037855,2,8,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.0,0.0
93,403,Swan Song,2021,0.914881938944676,2,9,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.0,0.0
94,404,The Novice,2021,-0.3505209868824075,2,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
95,405,The Lost Daughter,2021,-0.407261013667911,3,17,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.0,0.535
96,406,Melody Makers,2019,-0.0796169681110752,2,13,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0.0,0.0
97,409,Star Wars: The Force Awakens,2015,3.8730517882009776,5,28,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0.0,0.474
