,Movie_name,Movie_release_date,Success_indicator
1,Seal Team,2021,0.5486566203154339
2,Pieces of a Woman,2020,0.5122859316664825
3,Abigail,2019,-0.6308040521442788
4,Taylor Swift: Reputation Stadium Tour,2018,1.6152212434476279
5,Cake,2014,-0.5730194085286572
7,Ninja: Shadow of a Tear,2013,0.25788997465144525
8,Force of Execution,2013,-1.426428147919899
13,Clifford the Big Red Dog,2021,0.06182301249476607
14,Hilda and the Mountain King,2021,1.0969397399658516
15,The Star,2017,-0.46374052083645917
16,Anomalisa,2015,-0.11295136586010662
29,Passengers,2016,0.3232746078316008
41,Encanto at the Hollywood Bowl,2022,0.8004104978536036
44,Frozen II,2019,2.492057798841327
45,Black Mirror: Bandersnatch,2018,0.844385617997544
46,20th Century Women,2016,0.007125582249674356
52,Jexi,2019,-0.21866419265521458
62,Puss in Boots: The Last Wish,2022,1.2920513053218257
63,"Lyle, Lyle, Crocodile",2022,0.2668804832549293
64,Triangle of Sadness,2022,-0.029339126463380105
65,The Banshees of Inisherin,2022,0.1655623145654015
66,Whitney Houston: I Wanna Dance with Somebody,2022,-0.11805735205964624
67,The Lost King,2022,0.376541912074142
68,Sing 2,2021,1.0513033164085597
69,The Matrix Resurrections,2021,-0.20260252808981433
71,Licorice Pizza,2021,-0.1263607631960959
72,West Side Story,2021,-0.0007986905256904264
73,West Side Story,2021,-0.04551104787586602
74,The Tragedy of Macbeth,2021,0.6069520186037269
75,Wonder Woman 1984,2020,-0.17796430159479285
76,Jumanji: The Next Level,2019,1.1519913625450535
77,Jojo Rabbit,2019,0.5947657870852092
79,Cats,2019,-1.6371496198709732
80,Aquaman,2018,1.789804281238995
81,The Favourite,2018,0.27308984824844335
82,Vice,2018,0.0019695570615193003
84,Holmes & Watson,2018,-1.6376348944711066
85,Coco,2017,1.9484795596176616
86,Call Me by Your Name,2017,0.5759142018836058
87,Jumanji: Welcome to the Jungle,2017,1.4520426474511914
88,The Greatest Showman,2017,1.1122282994731931
89,Downsizing,2017,-1.0458164688930331
90,Breathe,2017,0.10409803311243565
91,Moana,2016,1.3292100854547224
92,Why Him?,2016,-0.30301276503808217
93,Goosebumps,2015,-0.2790100444103917
94,Alvin and the Chipmunks: The Road Chip,2015,-0.27913686866119886
95,Daddy's Home,2015,-0.12160464232299295
97,The Danish Girl,2015,0.28671967050702407
98,Joy,2015,-0.2741208294732849
100,The Hobbit: The Battle of the Five Armies,2014,1.7575583725313184
101,Night at the Museum: Secret of the Tomb,2014,0.03086996230661751
102,My Little Pony: Equestria Girls - Rainbow Rocks,2014,0.44425231395244685
103,St. Vincent,2014,-0.0205730347272311
104,Frozen,2013,2.3334876802230164
105,The Hobbit: The Desolation of Smaug,2013,1.9921563274692873
106,The Secret Life of Walter Mitty,2013,0.29183977200375366
107,Saving Mr. Banks,2013,0.26606432944890984
188,American Underdog,2021,0.08755716645196199
189,Soul,2020,0.7348013435943007
191,We Can Be Heroes,2020,0.29180764427591144
198,The Last Dragonslayer,2016,-0.23973781738725763
199,The Peanuts Movie,2015,0.2324556163689764
202,Big Hero 6,2014,1.43351109550272
203,Nymphomaniac: Vol. II,2013,-0.28441255471785826
204,The Physician,2013,0.09918525273798051
221,Code 8,2019,-0.6339070040509371
225,Philomena,2013,0.23550886653944553
236,Benediction,2021,0.05115208150385152
239,Agatha and the Truth of Murder,2018,-0.6340431743550803
259,The Pale Blue Eye,2022,0.14629540753703424
262,War of the Worlds: Annihilation,2021,-0.5703694673600224
265,Silence,2016,-0.07967325404452352
266,Sexology,2016,-1.0273138494876712
283,"ariana grande: excuse me, i love you",2020,1.710853461236769
285,Renegades,2018,-0.9151036192348497
286,Between Worlds,2018,-0.37876034713526874
288,Paddington 2,2017,0.5159020308731941
289,The Florida Project,2017,0.06697795626707792
314,Togo,2019,1.8264889413755947
316,Bumblebee,2018,0.47383761834845534
318,At Eternity's Gate,2018,0.48315130633587455
319,13 Sins,2017,-0.5773703250482278
342,Star Wars: The Rise of Skywalker,2019,1.346177443536981
343,Johnny English Strikes Again,2018,-0.29502964479267246
347,The Imitation Game,2014,0.8142203053812423
348,Annie,2014,-0.3713055972812937
349,Anchorman 2: The Legend Continues,2013,-0.36194525623260937
372,Breach,2020,-1.7118677022730648
373,Sister of the Groom,2020,-0.3535687677704145
374,In Full Bloom,2020,1.1366199767400957
379,Delivery Man,2014,-0.4728998420826732
401,Snow Day,2022,-0.19889061000378555
403,Swan Song,2021,0.9148819389446761
404,The Novice,2021,-0.35052098688240757
405,The Lost Daughter,2021,-0.407261013667911
406,Melody Makers,2019,-0.07961696811107521
409,Star Wars: The Force Awakens,2015,3.8730517882009776
410,"Men, Women & Children",2014,-0.46314182174434065
411,The Frozen Ground,2013,-0.5667283204396825
430,Mindcage,2022,0.8754204031876531
432,Lullaby,2022,-0.8089059098552696
434,Spider-Man: No Way Home,2021,3.523192008111276
435,South Park: Post COVID: The Return of COVID,2021,1.1777529452885904
438,Ella Enchanted,2020,-0.4791220127315121
439,Rogue One: A Star Wars Story,2016,2.059478804561245
440,The Accountant,2016,0.15994438300118985
441,Survivor,2015,-0.914602199693404
458,Avatar: The Way of Water,2022,3.7955958208214025
460,The Simpsons Meet the Bocellis in Feliz Navidad,2022,-0.5541927780183843
463,Heks,2020,-0.34983777516602277
