,Budget,Production Companies,ReleaseYear,Title,Director
0,30000000,['Pixar Animation Studios'],1995,Toy Story,John Lasseter
1,65000000,"['TriStar Pictures', 'Teitler Film', 'Interscope Communications']",1995,Jumanji,Joe Johnston
2,0,"['Warner Bros.', 'Lancaster Gate']",1995,Grumpier Old Men,Howard Deutch
3,16000000,['Twentieth Century Fox Film Corporation'],1995,Waiting to Exhale,Forest Whitaker
4,0,"['Sandollar Productions', 'Touchstone Pictures']",1995,Father of the Bride Part II,Charles Shyer
5,60000000,"['Regency Enterprises', 'Forward Pass', 'Warner Bros.']",1995,Heat,Michael Mann
6,58000000,"['Paramount Pictures', 'Scott Rudin Productions', 'Mirage Enterprises', 'Sandollar Productions', 'Constellation Entertainment', 'Worldwide', 'Mont Blanc Entertainment GmbH']",1995,Sabrina,Sydney Pollack
7,0,['Walt Disney Pictures'],1995,Tom and Huck,Peter Hewitt
8,35000000,"['Universal Pictures', 'Imperial Entertainment', 'Signature Entertainment']",1995,Sudden Death,Peter Hyams
9,58000000,"['United Artists', 'Eon Productions']",1995,GoldenEye,Martin Campbell
10,62000000,"['Columbia Pictures', 'Castle Rock Entertainment']",1995,The American President,Rob Reiner
11,0,"['Columbia Pictures', 'Castle Rock Entertainment', 'Enigma Pictures']",1995,Dracula: Dead and Loving It,Mel Brooks
12,0,"['Universal Pictures', 'Amblin Entertainment', 'Amblimation']",1995,Balto,Simon Wells
13,44000000,"['Hollywood Pictures', 'Cinergi Pictures Entertainment']",1995,Nixon,Oliver Stone
14,98000000,"['Le Studio Canal+', 'Laurence Mark Productions', 'Metro-Goldwyn-Mayer (MGM)', 'Carolco Pictures']",1995,Cutthroat Island,Renny Harlin
15,52000000,"['Universal Pictures', 'Légende Entreprises', 'Syalis DA', 'De Fina-Cappa']",1995,Casino,Martin Scorsese
16,16500000,"['Columbia Pictures Corporation', 'Mirage Enterprises']",1995,Sense and Sensibility,Ang Lee
17,30000000,"['O Entertainment', 'Warner Bros.', 'Morgan Creek Productions']",1995,Ace Ventura: When Nature Calls,Steve Oedekerk
18,60000000,['Columbia Pictures'],1995,Money Train,Joseph Ruben
19,30250000,"['Jersey Films', 'Metro-Goldwyn-Mayer (MGM)']",1995,Get Shorty,Barry Sonnenfeld
20,0,"['Regency Enterprises', 'New Regency Pictures']",1995,Copycat,Jon Amiel
21,50000000,"['Silver Pictures', 'Canal+', 'Warner Bros.', 'Dino De Laurentiis Company', 'Donner/Shuler-Donner Productions', 'Evansgideon/Lazar']",1995,Assassins,Richard Donner
22,0,"['Caravan Pictures', 'Hollywood Pictures']",1995,Powder,Victor Salva
23,3600000,"['United Artists', 'Intial Productions']",1995,Leaving Las Vegas,Mike Figgis
24,0,"['Columbia Pictures', 'Castle Rock Entertainment']",1995,Othello,Oliver Parker
25,12000000,['New Line Cinema'],1995,Now and Then,Lesli Linka Glatter
26,0,['BBC Films'],1995,Persuasion,Roger Michell
27,0,"['Ministère des Affaires Étrangères', 'Alpha Films', 'La Sept Cinéma']",1995,Shanghai Triad,Yimou Zhang
28,0,"['Hollywood Pictures', 'Via Rosa Productions', 'Don Simpson/Jerry Bruckheimer Films']",1995,Dangerous Minds,John N. Smith
29,29500000,"['Universal Pictures', 'Atlas Entertainment', 'Classico']",1995,12 Monkeys,Terry Gilliam
30,0,['Iwerks Entertainment'],1996,Wings of Courage,Jean-Jacques Annaud
31,30000000,"['Universal Pictures', 'Kennedy Miller Productions']",1995,Babe,Chris Noonan
32,0,"['StudioCanal', 'Cinéa', 'Euston Films', 'Freeway Films', 'European Co-production Fund', 'Polygram Filmed Entertainment', 'Orsans Productions']",1995,Carrington,Christopher Hampton
33,11000000,"['Havoc', 'PolyGram Filmed Entertainment', 'Working Title Films']",1995,Dead Man Walking,Tim Robbins
34,0,['Sony New Technologies'],1995,Across the Sea of Time,Stephen Low
35,0,"['Dualstar Productions', 'Warner Bros.', 'Rysher Entertainment', 'Orr & Cruickshank']",1995,It Takes Two,Andy Tennant
36,12000000,['Paramount Pictures'],1995,Clueless,Amy Heckerling
37,0,"['Miramax', 'Distant Horizon', 'Alpine Pty Limited']",1995,"Cry, the Beloved Country",Darrell Roodt
38,0,"['British Screen', 'Mayfair Entertainment International']",1995,Richard III,Richard Loncraine
39,19000000,['Miramax Films'],1995,Restoration,Michael Hoffman
40,18000000,"['New Line Cinema', 'Threshold Entertainment']",1995,Mortal Kombat,Paul W.S. Anderson
41,20000000,"['The Rank Organisation', 'Columbia Pictures Corporation']",1995,To Die For,Gus Van Sant
42,10000000,"['Universal Pictures', 'Amblin Entertainment']",1995,How to Make an American Quilt,Jocelyn Moorhouse
43,33000000,"['New Line Cinema', 'Juno Pix', 'Cecchi Gori Pictures']",1995,Se7en,David Fincher
44,0,['Alliance Communications Corporation'],1995,When Night Is Falling,Patricia Rozema
45,6000000,"['Blue Parrot Productions', 'Bad Hat Harry Productions']",1995,The Usual Suspects,Bryan Singer
46,0,[],1994,Guardian Angel,Richard W. Munchkin
47,15000000,"['Miramax Films', 'Magnolia Pictures']",1995,Mighty Aphrodite,Woody Allen
48,0,[],1994,Lamerica,Gianni Amelio
49,0,"['Walt Disney Pictures', 'Caravan Pictures']",1995,The Big Green,Holly Goldberg Sloan
50,0,"['Miramax Films', 'CiBy 2000']",1995,Georgia,Ulu Grosbard
51,0,"['Telefilm Canada', 'Melenny Productions']",1997,Kids of the Round Table,Robert Tinnell
52,0,"['Paramount Pictures', 'Egg Pictures', 'PolyGram Filmed Entertainment']",1995,Home for the Holidays,Jodie Foster
53,0,[],1995,The Confessional,Robert Lepage
54,45000000,"['Paramount Pictures', 'Columbia Pictures Corporation', 'The Kennedy/Marshall Company']",1995,The Indian in the Cupboard,Frank Oz
