,Budget,Production Companies,ReleaseYear,Title,Director
55,20000000,['Paramount Pictures'],1996,Eye for an Eye,John Schlesinger
56,0,"['Hollywood Pictures', 'The Charlie Mopic Company', 'PolyGram Filmed Entertainment', 'Interscope Communications']",1995,Mr. Holland's Opus,Stephen Herek
57,0,"['Miramax Films', 'Island Pictures', 'Ivory Way Productions']",1996,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Paris Barclay
58,0,"['Warner Bros.', 'Morgan Creek Productions']",1996,Two If by Sea,Bill Bennett
59,15000000,"['Metro-Goldwyn-Mayer (MGM)', 'Motion Picture Corporation of America (MPCA)', '3 Arts Entertainment', 'Weasel Productions']",1996,Bio-Dome,Jason Bloom
60,0,['New Line Cinema'],1996,Lawnmower Man 2: Beyond Cyberspace,Farhad Mann
61,0,['Miramax Films'],1995,Two Bits,James Foley
62,0,"['Renn Productions', 'Les Films Flam', 'TF1 Films Production', 'Canal+']",1995,French Twist,Josiane Balasko
63,3500000,['New Line Cinema'],1995,Friday,F. Gary Gray
64,19000000,"['A Band Apart', 'Dimension Films', 'Los Hooligans Productions', 'Miramax']",1996,From Dusk Till Dawn,Robert Rodriguez
65,50000000,"['Silver Pictures', 'Warner Bros.']",1995,Fair Game,Andrew Sipes
66,0,"['Castleberg Productions', 'Sandollar Productions']",1995,Kicking and Screaming,Noah Baumbach
67,0,"['Les Films 13', 'Canal+', 'TF1']",1995,Les Misérables,Claude Lelouch
68,0,"['New Line Cinema', 'Juno Pix']",1996,Bed of Roses,Michael Goldenberg
69,15000000,"['Warner Bros.', 'Morgan Creek Productions']",1996,Big Bully,Steve Miner
70,20000000,"['The Movie Network (TMN)', 'Allegro Films', 'Fuji Eight Company Ltd.', 'Fries Film Group', 'Super Ecran', 'Triumph Films']",1995,Screamers,Christian Duguay
71,0,"['Zweites Deutsches Fernsehen (ZDF)', 'Ciak Filmproduktion', 'Bluehorse Films']",1995,Nico Icon,Susanne Ofteringer
72,0,['Miramax Films'],1995,The Crossing Guard,Sean Penn
73,44000000,['Columbia Pictures Corporation'],1996,The Juror,Brian Gibson
74,0,"['I.R.I.B. Channel 2', 'Ferdos Films']",1995,The White Balloon,Jafar Panahi
75,8000000,['Miramax Films'],1995,Things to Do in Denver When You're Dead,Gary Fleder
76,900000,"['Bergen Film', 'Bard Entertainments', 'NPS Televisie']",1995,Antonia's Line,Marleen Gorris
77,0,"['BET Pictures', 'United Image Entertainme']",1996,Once Upon a Time... When We Were Colored,Tim Reid
78,0,[],1995,Last Summer in the Hamptons,Henry Jaglom
79,0,"['Playhouse International Pictures', 'The Samuel Goldwyn Company']",1995,Angels and Insects,Philip Haas
80,38000000,"['Hollywood Pictures', 'Largo Entertainment', 'Scott Free Productions']",1996,White Squall,Ridley Scott
81,16000000,"['Twentieth Century Fox Film Corporation', 'Joe Wizan/Todd Black']",1996,Dunston Checks In,Ken Kwapis
82,0,['Paramount Pictures'],1996,Black Sheep,Penelope Spheeris
83,8169363,['Paramount Pictures'],1995,Nick of Time,John Badham
84,0,"['Miramax Films', 'Addis Wechsler Pictures']",1995,The Journey of August King,John Duigan
85,47000000,"['TriStar Pictures', 'NFH Productions']",1996,Mary Reilly,Stephen Frears
86,14000000,['Paramount Pictures'],1995,Vampire in Brooklyn,Wes Craven
87,0,"['Miramax Films', 'Woods Entertainment']",1996,Beautiful Girls,Ted Demme
88,50000000,"['Twentieth Century Fox Film Corporation', 'WCG Entertainment Productions', 'Mark Gordon Productions']",1996,Broken Arrow,John Woo
89,0,"['Castle Rock Entertainment', 'Midwinter Films']",1995,A Midwinter's Tale,Kenneth Branagh
90,3000000,"['Egg Pictures', 'PolyGram Filmed Entertainment', 'Canal+', 'Les Productions Lazennec', 'La Sept Cinéma', 'Kasso Inc. Productions', 'Studio Image', 'Cofinergie 6']",1995,La haine,Mathieu Kassovitz
91,0,['Channel Four Films'],1994,Shopping,Paul W.S. Anderson
92,0,"['British Broadcasting Corporation (BBC)', 'Westdeutscher Rundfunk (WDR)', 'Canadian Broadcasting Corporation (CBC)', 'Cinemax Reel Life', 'InPictures', 'Lafayette Films']",1995,Heidi Fleiss: Hollywood Madam,Nick Broomfield
93,0,"['Columbia Pictures', 'Castle Rock Entertainment']",1996,City Hall,Harold Becker
94,7000000,"['Gracie Films', 'Columbia Pictures Corporation']",1996,Bottle Rocket,Wes Anderson
95,0,['Touchstone Pictures'],1996,Mr. Wrong,Nick Castle
96,18000000,"['Metro-Goldwyn-Mayer (MGM)', 'Dino De Laurentiis Company', 'Spelling Films']",1996,Unforgettable,John Dahl
97,12000000,"['Universal Pictures', 'Brillstein-Grey Entertainment', 'Robert Simonds Productions']",1996,Happy Gilmore,Dennis Dugan
98,24000000,"['Amblin Entertainment', 'Malpaso Productions', 'Warner Bros.']",1995,The Bridges of Madison County,Clint Eastwood
99,0,[],1994,Nobody Loves Me,Doris Dörrie
100,0,[],1995,Catwalk,Robert Leacock
101,0,[],1995,Headless Body in Topless Bar,James Bruce
102,72000000,"['Icon Entertainment International', 'The Ladd Company', 'B.H. Finance C.V.']",1995,Braveheart,Mel Gibson
103,1300000,"['Columbia Pictures Corporation', 'Italo/Judeo Productions', 'Bill/Phillips']",1976,Taxi Driver,Martin Scorsese
104,7500000,"['New Line Cinema', 'Golden Harvest Company']",1995,Rumble in the Bronx,Stanley Tong
105,35000000,"['Caravan Pictures', 'Hollywood Pictures']",1996,Before and After,Barbet Schroeder
106,0,"['Téléfilm Canada', 'Skyline Films', 'Malofilm', 'Société de Développement des Entreprises Culturelles (SODEC)', 'British Screen Productions', 'National Film Board of Canada (NFB)', 'imX Communications', 'Glace Bay Pictures', 'Ciné Télé Action', 'Nova Scotia Film Development Corporation', 'Ranfilm']",1995,Margaret's Museum,Mort Ransen
107,13365000,"['France 2 Cinéma', 'France 3 Cinéma', 'StudioCanal', 'Les Productions du Champ Poirier', 'Téléma Productions']",1995,Happiness Is in the Field,Étienne Chatiliez
108,0,[],1995,Anne Frank Remembered,Jon Blair
109,0,['Bavaria Film and Television Fund'],1995,The Young Poisoner's Handbook,Benjamin Ross
110,0,"['TriStar Pictures', 'Motion Picture Corporation of America (MPCA)']",1996,If Lucy Fell,Eric Schaeffer
111,25000000,['Savoy Pictures'],1995,Steal Big Steal Little,Andrew Davis
112,0,['TriStar Pictures'],1996,Race the Sun,Charles T. Kanganis
113,0,[],1992,The Boys of St. Vincent,John N. Smith
114,40000000,['Paramount Pictures'],1992,Boomerang,Reginald Hudlin
115,0,"['Jet Tone Production', 'The Criterion Collection']",1994,Chungking Express,Kar-Wai Wong
116,0,['Cecchi Gori Group Tiger Cinematografica'],1995,The Star Maker,Giuseppe Tornatore
117,7000000,['Miramax Films'],1996,Flirting with Disaster,David O. Russell
118,17000000,"['Studio Babelsberg', 'Dieter Geissler Filmproduktion', 'Cinevox Filmproduktion GmbH', 'Warner Bros.', 'Miramax']",1994,The NeverEnding Story III,Peter MacDonald
119,0,"['Canal Horizons', 'Mat Films', 'Cinétéléfilms']",1994,The Silences of the Palace,Moufida Tlatli
120,0,[],1995,Jupiter's Wife,Michel Negroponte
121,0,[],1996,Pie in the Sky,Bryan Gordon
122,0,[],1995,Angela,Rebecca Miller
123,0,"['Fine Line Features', 'Channel Four Films', 'Bórd Scannán na hÉireann', 'Canal+']",1995,Frankie Starlight,Michael Lindsay-Hogg
124,50000000,['Paramount Pictures'],1995,Jade,William Friedkin
125,0,"['Cigua Films', ""D'Pelicula""]",1995,Nueba Yol,Ángel Muñiz
126,0,[],1995,Sonic Outlaws,Craig Baldwin
127,0,['Twentieth Century Fox Film Corporation'],1996,Down Periscope,David S. Ward
128,0,['Couch Potatoe Productions'],1995,From the Journals of Jean Seberg,Mark Rappaport
129,0,[],1995,Man of the Year,Dirk Shafer
130,0,"['Channel Four Films', 'Academy', 'Mayfair Films', 'Iberoamerica Films']",1995,The Neon Bible,Terence Davies
131,0,[],1995,Target,Sandip Ray
132,60000000,"['Cinergi Pictures Entertainment', 'Touchstone Pictures']",1996,Up Close & Personal,Jon Avnet
133,31000000,['United Artists'],1996,The Birdcage,Mike Nichols
134,0,[],1995,Gospa,Jakov Sedlar
135,0,['Fox Searchlight Pictures'],1995,The Brothers McMullen,Edward Burns
136,19000000,"['Columbia Pictures', 'Don Simpson/Jerry Bruckheimer Films']",1995,Bad Boys,Michael Bay
137,0,['Warner Bros.'],1995,The Amazing Panda Adventure,Christopher Cain
138,0,"['New Line Cinema', 'Island Pictures']",1995,The Basketball Diaries,Scott Kalvert
139,4000000,"['Fine Line Features', 'BBC', 'British Screen Productions', 'Portman Productions']",1995,An Awfully Big Adventure,Mike Newell
140,0,"['Channel Four Films', 'Zenith Entertainment', 'American Playhouse', 'Union Générale Cinématographique (UGC)', 'La Sept Cinéma', 'True Fiction Pictures']",1994,Amateur,Hal Hartley
141,52000000,"['Imagine Entertainment', 'Universal Pictures']",1995,Apollo 13,Ron Howard
142,28000000,"['United Artists', 'Talisman Productions']",1995,Rob Roy,Michael Caton-Jones
143,0,"['October Films', 'Guild', 'Fastnet Films']",1995,The Addiction,Abel Ferrara
144,100000000,"['Warner Bros.', 'Polygram Filmed Entertainment']",1995,Batman Forever,Joel Schumacher
145,0,"['Paris Films Productions', 'Five Films', 'Robert et Raymond Hakim']",1967,Belle de Jour,Luis Buñuel
146,0,"['Columbia Pictures', 'Castle Rock Entertainment']",1995,Beyond Rangoon,John Boorman
147,11000000,['PolyGram Filmed Entertainment'],1995,Canadian Bacon,Michael Moore
148,50000000,"['Universal Pictures', 'Amblin Entertainment', 'The Harvey Entertainment Company']",1995,Casper,Brad Silberling
149,25000000,"['Universal Pictures', '40 Acres & A Mule Filmworks']",1995,Clockers,Spike Lee
150,50000000,"['Paramount Pictures', 'Kennedy/Marshall Company, The']",1995,Congo,Frank Marshall
151,53000000,"['Hollywood Pictures', 'Don Simpson/Jerry Bruckheimer Films']",1995,Crimson Tide,Tony Scott
152,0,['Superior Pictures'],1994,Crumb,Terry Zwigoff
153,7000000,"['Columbia Pictures', 'Los Hooligans Productions']",1995,Desperado,Robert Rodriguez
154,27000000,"['TriStar Pictures', 'Mundy Lane Entertainment']",1995,Devil in a Blue Dress,Carl Franklin
155,90000000,"['Twentieth Century Fox Film Corporation', 'Cinergi Pictures Entertainment']",1995,Die Hard with a Vengeance,John McTiernan
156,0,"['Why Not Productions', 'Desperate Pictures', 'Blurco', 'The Teen Angst Movie Company']",1995,The Doom Generation,Gregg Araki
157,0,"['Touchstone Pictures', 'Merchant Ivory Productions']",1995,Feast of July,Christopher Menaul
158,55000000,"['Columbia Pictures Corporation', 'First Knight Productions']",1995,First Knight,Jerry Zucker
159,0,"['Regency Enterprises', 'Alcor Films', 'Canal+', 'Donner/Shuler-Donner Productions', 'Warner Bros.']",1995,Free Willy 2: The Adventure Home,Dwight H. Little
160,20000000,"['United Artists', 'Suftley']",1995,Hackers,Iain Softley
161,0,"['The Booking Office', ""Workin' Man Films""]",1995,Jeffrey,Christopher Ashley
162,25000000,"['TriStar Pictures', 'Alliance Communications Corporation']",1995,Johnny Mnemonic,Robert Longo
163,90000000,"['Hollywood Pictures', 'Cinergi Pictures Entertainment']",1995,Judge Dredd,Danny Cannon
164,0,['TriStar Pictures'],1995,Jury Duty,John Fortenberry
165,1500000,['Miramax Films'],1995,Kids,Larry Clark
166,500000,"['JDI productions', 'Lemon Sky Productions']",1995,Living in Oblivion,Tom DiCillo
167,0,"['United Artists', 'Seraphim Films']",1995,Lord of Illusions,Clive Barker
168,0,"['The Ontario Film Development Corporation', 'First Choice Films', 'Atlantis Films', 'Telefilm Canada', 'Max Films Productions', 'Super Écran', 'Société Générale des Industries Culturelles du Québec (SOGIC)']",1993,Love & Human Remains,Denys Arcand
169,0,['Touchstone Pictures'],1995,Mad Love,Antonia Bird
170,6000000,"['Universal Pictures', 'Gramercy Pictures', 'Alphaville Films', 'View Askew Productions']",1995,Mallrats,Kevin Smith
171,15000000,"['Twentieth Century Fox Film Corporation', 'Saban Entertainment', 'Toei Company']",1995,Mighty Morphin Power Rangers,Bryan Spicer
172,0,"['PolyGram Filmed Entertainment', 'Working Title Films']",1995,Moonlight and Valentino,David Anspaugh
173,2,"['Comet Film Produktion GmbH', 'Avrora Media', 'Cobblestone Pictures']",1995,Mute Witness,Anthony Waller
174,0,['Kino Link Company'],1994,Nadja,Michael Almereyda
175,22000000,['Columbia Pictures'],1995,The Net,Irwin Winkler
176,0,"['Twentieth Century Fox Film Corporation', '1492 Pictures']",1995,Nine Months,Chris Columbus
177,150000,['Party Productions'],1995,Party Girl,Daisy von Scherler Mayer
178,8,['Dimension Films'],1995,The Prophecy,Gregory Widen
179,0,"['Playhouse International Pictures', 'American Playhouse', 'Samuel Goldwyn Company, The']",1995,Reckless,Norman René
180,0,"['Killer Films', 'American Playhouse', 'Kardana Films', 'Chemical Films']",1995,Safe,Todd Haynes
181,50000000,"['Hollywood Pictures', 'Cinergi Pictures Entertainment']",1995,The Scarlet Letter,Roland Joffé
182,0,[],1995,The Show,Brian Robbins
183,45000000,"['United Artists', 'Le Studio Canal+', 'Carolco Pictures']",1995,Showgirls,Paul Verhoeven
184,7000000,['Miramax Films'],1995,Smoke,Wayne Wang
185,0,"['Spring Creek Productions', 'Warner Bros.', 'Hawn / Sylbert Movie Company']",1995,Something to Talk About,Lasse Hallström
186,35000000,['Metro-Goldwyn-Mayer (MGM)'],1995,Species,Roger Donaldson
187,0,"['Malpaso Productions', ""Butcher's Run Films"", 'Warner Bros.']",1995,The Stars Fell on Henrietta,James Keach
188,42000000,['Lightstorm Entertainment'],1995,Strange Days,Kathryn Bigelow
189,0,"['Beta Film', 'Madeleine Films', 'Parc Film']",1964,The Umbrellas of Cherbourg,Jacques Demy
190,14000000,"['Hollywood Pictures', 'PolyGram Filmed Entertainment', 'Interscope Communications']",1995,The Tie That Binds,Wesley Strick
191,0,['Savoy Pictures'],1995,Three Wishes,Martha Coolidge
192,0,"['Société Française de Production (SFP)', 'FIT Productions', 'Portman Productions']",1995,Total Eclipse,Agnieszka Holland
193,0,"['Universal Pictures', 'Amblin Entertainment']",1995,"To Wong Foo, Thanks for Everything! Julie Newmar",Beeban Kidron
194,60000000,"['Regency Enterprises', 'Warner Bros.', 'Seagal/Nasso Productions', 'Victor Company of Japan (JVC)', 'Cutting Edge Films']",1995,Under Siege 2: Dark Territory,Geoff Murphy
195,0,['Hollywood Pictures'],1995,Unstrung Heroes,Diane Keaton
196,0,[],1995,Unzipped,Douglas Keeve
197,20000000,"['Twentieth Century Fox Film Corporation', 'Zucker Brothers Productions']",1995,A Walk in the Clouds,Alfonso Arau
198,175000000,"['Universal Pictures', 'Gordon Company', 'Davis Entertainment', 'Licht/Mueller Film Corporation']",1995,Waterworld,Kevin Reynolds
199,8000000,"['HBO', 'A BandApart', 'Rysher Entertainment']",1995,White Man's Burden,Desmond Nakano
200,30000000,['United Artists'],1995,Wild Bill,Walter Hill
201,0,['Paramount Pictures'],1994,The Browning Version,Mike Figgis
202,0,['Twentieth Century Fox Film Corporation'],1995,Bushwhacked,Greg Beeman
203,2800000,"['Canal+', 'Studio Trite', 'Caméra One']",1994,Burnt by the Sun,Nikita Mikhalkov
204,0,"['PolyGram Audiovisuel', 'British Screen Productions']",1994,Before the Rain,Milcho Manchevski
205,2500000,"['Detour Film Production', 'Warner Bros.']",1995,Before Sunrise,Richard Linklater
206,10000000,['Jack Giarraputo Productions'],1995,Billy Madison,Tamra Davis
207,0,['Spelling Films International'],1995,The Babysitter,Guy Ferland
208,21000000,"['Regency Enterprises', 'Alcor Films', 'Canal+', 'New Regency Pictures', 'Hera Productions']",1995,Boys on the Side,Herbert Ross
209,0,"['Universal Pictures', 'Island World']",1995,The Cure,Peter Horton
210,0,['Full Moon Entertainment'],1995,Castle Freak,Stuart Gordon
211,0,"['The Rank Organisation', 'Bórd Scannán na hÉireann', 'Lantana', 'Price Entertainment']",1995,Circle of Friends,Pat O'Connor
212,27000,"['Miramax Films', 'View Askew Productions']",1994,Clerks,Kevin Smith
213,25000000,"['New Line Cinema', 'American Zoetrope']",1994,Don Juan DeMarco,Jeremy Leven
214,55000000,"['Warner Bros.', 'Baltimore Pictures']",1994,Disclosure,Barry Levinson
215,0,"['Keystone Pictures', 'Dream Man Productions Inc']",1995,Dream Man,René Bonnière
216,45000000,['Paramount Pictures'],1994,Drop Zone,John Badham
217,0,"['Savoy Pictures', 'Rysher Entertainment']",1995,Destiny Turns on the Radio,Jack Baran
218,0,"['Fine Line Features', 'Channel Four Films', 'Capitol Films', 'TF1 Films Production', 'Canal+', 'Flach Film', ""Les Films de l'Astre""]",1994,Death and the Maiden,Roman Polanski
219,0,"['Castle Rock Entertainment', 'Columbia Pictures Corporation']",1995,Dolores Claiborne,Taylor Hackford
220,0,"['Ang Lee Productions', 'Good Machine', 'Central Motion Pictures']",1994,Eat Drink Man Woman,Ang Lee
221,0,"['Miramax Films', 'Alliance Entertainment', 'Ego Film Arts']",1994,Exotica,Atom Egoyan
222,0,['Savoy Pictures'],1994,Exit to Eden,Garry Marshall
223,18000000,['Touchstone Pictures'],1994,Ed Wood,Tim Burton
224,0,"['Twentieth Century Fox Film Corporation', 'PolyGram Filmed Entertainment', 'Working Title Films', 'Prufrock Pictures']",1995,French Kiss,Lawrence Kasdan
225,0,"['Columbia Pictures', 'Castle Rock Entertainment']",1995,Forget Paris,Billy Crystal
226,0,['Twentieth Century Fox Film Corporation'],1995,Far from Home: The Adventures of Yellow Dog,Phillip Borsos
227,0,['Walt Disney Pictures'],1995,A Goofy Movie,Kevin Lima
228,15000000,['TriStar Pictures'],1995,Hideaway,Brett Leonard
229,0,['Metro-Goldwyn-Mayer'],1995,Fluke,Carlo Carlei
230,0,"['Italian International Film', 'Stéphan Films', 'MG']",1994,Farinelli,Gérard Corbiau
231,0,[],1995,Gordy,Mark Lewis
232,0,[],1995,Gumby: The Movie,Art Clokey
233,0,['Miramax Films'],1994,The Glass Shield,Charles Burnett
234,700000,"['Fine Line Features', 'Kartemquin Films']",1994,Hoop Dreams,Steve James
235,5000000,"['WingNut Films', 'Miramax Films', 'New Zealand Film Commission', 'Fontana Productions']",1994,Heavenly Creatures,Peter Jackson
236,10500000,"['Caravan Pictures', 'Hollywood Pictures']",1995,Houseguest,Randall Miller
237,120,"['Columbia Pictures', 'Majestic Films International', 'Icon Entertainment International']",1994,Immortal Beloved,Bernard Rose
238,0,"['Walt Disney Pictures', 'Caravan Pictures']",1995,Heavyweights,Steven Brill
239,0,"['Universal Pictures', 'Bregman/Baer Productions']",1995,The Hunted,J.F. Lawton
240,25000000,['Paramount Pictures'],1994,I.Q.,Fred Schepisi
241,60000000,['Geffen Pictures'],1994,Interview with the Vampire: The Vampire Chronicles,Neil Jordan
242,14000000,"['Merchant Ivory Productions', 'Touchstone Pictures']",1995,Jefferson in Paris,James Ivory
243,0,"['Caravan Pictures', 'Touchstone Pictures']",1995,The Jerky Boys,James Melkonian
244,60000000,"['Universal Pictures', 'Northern Lights Entertainment']",1994,Junior,Ivan Reitman
245,0,"['Fountainbridge Films', 'Warner Bros.', 'Lee Rich Productions']",1995,Just Cause,Arne Glimcher
246,0,"['Walt Disney Pictures', 'Trimark Pictures']",1995,A Kid in King Arthur's Court,Michael Gottlieb
247,40000000,['Twentieth Century Fox Film Corporation'],1995,Kiss of Death,Barbet Schroeder
248,11000000,"['Lucasfilm', 'Twentieth Century Fox Film Corporation']",1977,Star Wars: Episode IV - A New Hope,George Lucas
249,18000000,['Columbia Pictures'],1994,Little Women,Gillian Armstrong
250,17000000,['Warner Bros.'],1995,A Little Princess,Alfonso Cuarón
251,0,"['Channel Four Films', 'Parallax Pictures']",1994,Ladybird Ladybird,Ken Loach
252,10000000,['MK2 Productions'],1994,Hell,Claude Chabrol
253,2000000,"['Aviacsa', 'Cinevista']",1992,Like Water for Chocolate,Alfonso Arau
254,30000000,"['Bedford Falls Productions', 'TriStar Pictures', 'Pangaea']",1994,Legends of the Fall,Edward Zwick
255,0,['Universal Pictures'],1995,Major Payne,Nick Castle
256,0,"['Fine Line Features', 'New Line Cinema', 'Live Entertainment']",1994,Little Odessa,James Gray
257,0,"['Channel Four Films', 'Cineville', 'Home Box Office (HBO)', 'Showcase Entertaiment Inc.']",1994,Mi vida loca,Allison Anders
258,60000000,['Warner Bros.'],1994,Love Affair,Glenn Gordon Caron
259,17000000,['Paramount Pictures'],1995,Losing Isaiah,Stephen Gyllenhaal
260,0,"['Channel Four Films', 'Samuel Goldwyn Company', 'Close Call Films']",1994,The Madness of King George,Nicholas Hytner
261,45000000,"['American Zoetrope', 'TriStar Pictures']",1994,Frankenstein,Kenneth Branagh
262,0,['Walt Disney Pictures'],1995,Man of the House,James Orr
263,15000000,['TriStar Pictures'],1994,Mixed Nuts,Nora Ephron
264,0,"['Paramount Pictures', 'The Kennedy/Marshall Company']",1994,Milk Money,Richard Benjamin
265,0,['Twentieth Century Fox Film Corporation'],1994,Miracle on 34th Street,Les Mayfield
266,6,['Hollywood Pictures'],1995,Miami Rhapsody,David Frankel
267,5500000,"['American Zoetrope', 'American Playhouse', 'Majestic Films International', 'Newcomb Productions']",1995,My Family,Gregory Nava
268,0,"['Wolper Organization', 'Warner Bros.']",1995,Murder in the First,Marc Rocco
269,0,"['Paramount Pictures', 'Capella International', 'Cinehaus']",1994,Nobody's Fool,Robert Benton
270,31000000,"['Twentieth Century Fox Film Corporation', 'Egg Pictures', 'PolyGram Filmed Entertainment']",1994,Nell,Michael Apted
271,0,['40 Acres & A Mule Filmworks'],1995,New Jersey Drive,Nick Gomez
272,0,"['TOEI', 'Distant Justice Joint Venture']",1993,New York Cop,Tôru Murakawa
273,4800000,['Metrodome Films'],1994,Beyond Bedlam,Vadim Jean
274,0,"['Filmwerks', 'Imperial Entertainment']",1995,Nemesis 2: Nebula,Albert Pyun
275,0,['Triumph Films'],1995,Nina Takes a Lover,Alan Jacobs
